LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(mm),(mm),(mm),(frame),,(mm),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(mm),(mm),(mm),(mm),(radians),,(mm^2),(mm),,,
ID20242,20242,0,0.86666739,2.890960682,0.321573281,0,0,0,0.361840841,1,,243.3492286,255,0,255,173508,38.24330818,0.692621693,5.207636993,-9.65E-04,-0.006164686,0.430130412,0.309479828,1.912143861,1.389849589,0.411324939,2.452804492,0.85915009,0.975744976,3.824462545
ID20247,20247,0,0.86163497,2.880715102,0.318437098,0,1,1,0.341071092,1,,240.3655063,255,0,255,151911,45.01087328,0.6786917,4.318036368,1.61E-04,-0.004668927,0.405296671,0.289738188,-1.12778263,1.398837598,0.365459871,2.312852802,0.85852624,0.963048499,3.825851819
ID20253,20253,0,0.809795141,2.862034146,0.348252836,0,2,2,0.343921885,1,,234.4068323,255,0,255,150958,55.65738071,0.655065794,3.333858453,-3.77E-04,-0.005878975,0.421662518,0.284128839,1.783781531,1.484053923,0.371594689,2.329583562,0.860444328,0.970251716,3.82158518
ID20257,20257,0,0.838930845,2.916153036,0.301415219,0,3,3,0.333628646,1,,238.89,255,0,255,143334,49.91382791,0.668824175,3.836263844,5.86E-04,-0.004168048,0.374641566,0.300214746,1.950341901,1.247911941,0.349684625,2.292307068,0.836259019,0.958366693,3.876453018
ID20264,20264,0,0.885687947,2.89092485,0.32497643,0,4,4,0.344597169,1,,240.1546875,255,9,255,153699,42.35086484,0.663712275,4.524393911,-8.25E-04,-0.003989363,0.423173938,0.284105814,-1.304493701,1.489494116,0.37305536,2.341206423,0.855270976,0.973323171,3.83312573
ID20269,20269,0,0.864119053,2.900191976,0.34854823,0,5,5,0.349287605,1,,237.6972892,255,0,255,157831,47.54101437,0.662884224,3.986221716,-3.10E-04,-0.006768916,0.433137885,0.285105303,1.813475257,1.519220727,0.383280057,2.38108704,0.849523787,0.974016333,3.846069786
ID20275,20275,0,0.87147367,2.930860487,0.319504455,0,6,6,0.334185622,1,,232.7228715,255,0,255,139401,52.02035228,0.668874212,3.586052323,-1.70E-04,-0.003654809,0.381983891,0.294646702,-1.394432942,1.296413259,0.350853162,2.281425554,0.847076542,0.967767929,3.85162152
