LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(mm),(mm),(mm),(frame),,(mm),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(mm),(mm),(mm),(mm),(radians),,(mm^2),(mm),,,
ID7299,7299,0,0.9425888657569885,5.594917641024809,0.9873371275724951,0.0,0.0,0,0.5151085613126629,1,,233.71243169398906,255.0,53.0,255.0,342155.0,40.3690590095926,0.9592056556999521,5.668848994543612,-0.0010685929998007437,3.714266588789324E-4,0.5235771175513841,0.5107126375273625,-0.950964692295678,1.025189272946731,0.8335802356587729,3.3023131027829846,0.9605517718886571,0.9942235813795448,3.6169669738269787
ID7304,7304,0,0.9384570121765137,5.615416691793405,0.9581960184408237,0.0,1.0,1,0.5066774099925615,1,,230.82544169611307,255.0,15.0,255.0,326618.0,45.46809724536349,0.9686061847608941,4.99568772594563,-0.0011736370650294338,0.0012667011715692044,0.5297923206286944,0.48864533906335783,0.05637778330136705,1.0842062295001271,0.8065159422932284,3.2324767505839143,0.9699559257657923,0.9978850898836799,3.5993902151006045
ID7308,7308,0,0.9464209675788879,5.656265834852893,0.9851053409463483,0.0,2.0,2,0.5045251422383878,1,,225.4815078236131,255.0,15.0,255.0,317027.0,48.146196541637764,0.9785753232443651,4.63255531077677,-0.0012415103984001236,8.546727736686391E-4,0.523478682277281,0.4901209898574034,-0.6347652486873596,1.0680601180324532,0.799678647127196,3.2275123653255773,0.9646939038180731,0.9953900709219857,3.6091934867893727
ID7313,7313,0,0.9507187604904175,5.655198624126709,0.9825995437510647,0.0,3.0,3,0.5043453720056228,1,,223.7660028449502,255.0,15.0,255.0,314615.0,49.79053644546856,0.9690562286048083,4.423521613498734,1.6135547210154007E-5,0.001610749671435737,0.5182911782847964,0.4963121161197488,0.22452560306152816,1.0442847584235573,0.7991088725300267,3.2998104103846977,0.9222270151584437,0.9883720930232556,3.6913566864270493
ID7317,7317,0,0.9526838064193726,5.661220407759184,0.96344760795249,0.0,4.0,4,0.49992080825636076,1,,225.26792179580013,255.0,53.0,255.0,311095.0,48.82288953663906,0.9667205940454068,4.535907338857403,-0.0016219076351476007,1.5306813624286298E-4,0.5129628875637183,0.49038207867755834,-0.8145443933372204,1.0460473778875747,0.7851493948993776,3.220893724405575,0.9510631919182433,0.9949458483754513,3.6349650964960447
ID7320,7320,0,0.949633002281189,5.69126626357424,0.9658951285887473,0.0,5.0,5,0.5027245471218922,1,,225.75107296137338,255.0,15.0,255.0,315600.0,50.44588142787883,0.9743344444159422,4.416939367252291,2.2133289564226134E-4,-2.5075468201046937E-4,0.5157587098803106,0.4934574731641864,1.2772723727498232,1.0451938372178708,0.7939809011555027,3.2394369757161003,0.9507817780232756,0.9950017850767585,3.6355029980569666
ID7324,7324,0,0.9394025802612305,5.667701004575785,1.0071177967993008,0.0,6.0,6,0.4891942033875017,1,,228.75037821482601,255.0,53.0,255.0,302408.0,45.43356301906933,0.9683811741776744,4.953956114686601,4.818670528129514E-4,-5.210033254387348E-4,0.5113706053029168,0.47149424559466574,1.0220214876072993,1.0845744355966795,0.7518175809649699,3.1401751341065287,0.9581082964302503,0.9917324314167605,3.621576234776468
