LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(mm),(mm),(mm),(frame),,(mm),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(mm),(mm),(mm),(mm),(radians),,(mm^2),(mm),,,
ID48350,48350,9,0.6683169603347778,0.09795198583714212,3.2825402162097275,0.0,26.0,26,0.2012144777928228,1,,94.7816091954023,98.0,31.0,137.0,8246.0,28.221476766263525,0.24140593708492095,1.3061963522503144,0.005270135475776549,0.013417339480776684,0.3130037309800767,0.13391984563847298,1.5287968375818362,2.337246802277943,0.12719449766024932,1.6988795147513251,0.5538000992662998,0.891089108910891,4.763524655081023
ID48357,48357,9,0.6365223526954651,0.09762921325345687,3.3555058067451276,0.0,27.0,27,0.22245097507536424,1,,98.09345794392523,98.0,55.0,147.0,10496.0,19.814485224760993,0.2894979665256248,2.222859954496321,-7.982486089493199E-4,0.00539848608529624,0.2949218285430342,0.17333340891411805,1.4629895330222624,1.7014713458336235,0.15545994158474935,1.8239635759122368,0.5872135136831547,0.8870967741935487,4.626013664141348
ID48370,48370,9,0.6470615267753601,0.13853678834220473,3.328597371520841,0.0,29.0,29,0.26277991091559655,1,,87.70588235294117,90.0,21.0,137.0,11928.0,26.58574322676329,0.21969516592062474,1.1884450614473459,0.0013469031935809189,0.010725870633233684,0.33838147000872676,0.21393068973526055,1.3716577696338588,1.5817341141071166,0.2169372821205365,1.9948609129099553,0.68504455237114,0.9274924471299095,4.28297484297368
ID48378,48378,9,0.6782229542732239,0.08806354350148518,3.281538709244418,0.0,30.0,30,0.2390230763226448,1,,111.28828828828829,108.0,55.0,165.0,12353.0,27.165281113077,0.1674753007314792,1.1753529987227747,0.0024357406489350624,0.0042559135457088245,0.36931660319025633,0.16415264969682936,1.5473813849234441,2.249836380176261,0.17948556892057416,2.0322318723724546,0.546126038270425,0.9136690647482013,4.796875981123284
ID48390,48390,9,0.6344809532165527,0.1565382513223213,3.3394962128598875,0.0,32.0,32,0.26363448198734546,1,,101.32608695652173,104.0,45.0,175.0,13983.0,28.844451462920258,0.23629927951188767,1.3428508050175545,2.544127088610538E-4,0.0059240739168325346,0.30488927448714986,0.23072958952286193,1.5595809691355922,1.321413846909045,0.21835055431676156,1.8475097465857468,0.8038790051916792,0.9537037037037038,3.9537534948735056
ID48399,48399,9,0.6628993153572083,0.14034270422922326,3.251342087542921,0.0,33.0,33,0.29655916624131984,1,,95.62359550561797,98.0,37.0,165.0,17021.0,30.251841322198583,0.11654879414478361,0.6598927074668757,9.178408106090987E-4,0.0011668815209236558,0.4309440864128125,0.2245617428136799,1.483339026825441,1.9190449851930884,0.27629471436198616,2.444211717259044,0.5811721537030501,0.9114219114219113,4.649995507947949
ID48405,48405,9,0.5912383794784546,0.12480902588690439,3.2589661753736934,0.0,34.0,34,0.28017906833180417,1,,99.83040935672514,98.0,41.0,165.0,17071.0,32.22732507665114,0.10407559642944994,0.584007850968694,0.0034639741832134608,0.010406483511596856,0.4262388854594676,0.2034458272692129,1.469181898253752,2.0950977033087055,0.2466159982412613,2.441039856082722,0.5200934322150274,0.9112271540469973,4.915460915859051
