LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(mm),(mm),(mm),(frame),,(mm),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(mm),(mm),(mm),(mm),(radians),,(mm^2),(mm),,,
ID15186,15186,1,0.8979530334472656,0.8014909989946192,2.206663758017229,0.0,0.0,0,0.36756875602861977,1,,148.99159663865547,158.0,44.0,211.0,70920.0,48.735374948184386,0.9457024345851708,2.9718408148500024,-0.0014998548792266133,0.0012455715374223868,0.4227430358026824,0.3225504197231606,0.21226267804081012,1.3106262151682064,0.42445050019721026,2.3898343568809697,0.9339020162008619,0.9916230366492143,3.668210718246713
ID15192,15192,1,0.8975724577903748,0.8399282372422354,2.209223725073815,0.0,1.0,1,0.36601290245852974,1,,150.68017057569296,158.0,28.0,227.0,70669.0,50.86247642086598,0.9410714150048592,2.872563680966342,-0.002115321859029726,0.0014272527743580856,0.4171120106626131,0.3243525996528129,0.2866693232880131,1.2859832512799032,0.42086485711212307,2.401169111366929,0.9172907859117301,0.9873817034700314,3.7012755339228414
ID15197,15197,1,0.9126609563827515,0.9041832389784964,2.194519669998931,0.0,2.0,2,0.36873133802290176,1,,146.97907949790795,156.0,5.0,219.0,70256.0,51.88048252546845,0.933666505545973,2.7358464366123467,-5.176104289892421E-4,7.212602842596826E-4,0.4190360988465218,0.3271284787010328,0.2925231486552051,1.2809526718995465,0.42713973251102577,2.411756397991459,0.9228114123076753,0.9855222337125126,3.6901876718623963
ID15203,15203,1,0.8961127996444702,0.9389015602165595,2.1615933884152683,0.0,3.0,3,0.36051454203406663,1,,153.64912280701753,161.0,31.0,224.0,70064.0,51.12101263956701,0.9320982199237555,2.899967367991814,7.222074008923573E-4,6.158858523736457E-4,0.39621129703020286,0.33021166879174946,0.4007172664256753,1.1998706722871038,0.4083151063143175,2.332875819297252,0.9428054156371399,0.9859307359307359,3.6508492265856374
ID15207,15207,1,0.9156303405761719,0.9976960971673677,2.155030364802311,0.0,4.0,4,0.36620774564638303,1,,149.93790149892934,158.0,7.0,224.0,70021.0,51.47217255486871,0.9386238737550995,2.8207653748321415,-1.0729965042842557E-4,0.0013451939480995782,0.41265355190603975,0.327146235409762,0.40229532964144127,1.2613733775330682,0.42131306249775896,2.397422404769971,0.9211400579547777,0.9832635983263598,3.6935339686706863
ID15214,15214,1,0.8952488899230957,1.0561161561615298,2.163623659830819,0.0,5.0,5,0.36562290458276786,1,,152.0982905982906,158.0,28.0,219.0,71182.0,50.598209010810486,0.9283222143421671,2.894265200028745,-3.7377716581641176E-4,0.001313491144058874,0.4003855980314082,0.3367467661717337,0.3492805382781506,1.1889812709507062,0.41996844634085123,2.3829587199911404,0.9293803531498332,0.9842436974789917,3.6771232627712696
ID15219,15219,1,0.9075572490692139,1.1346414492979926,2.1446274952602318,0.0,6.0,6,0.3771474521627629,1,,146.04191616766468,153.0,28.0,213.0,73167.0,51.45059999184611,0.9346317167233265,2.7425798815151703,4.912491148909777E-4,9.273532390572992E-4,0.42001565776299676,0.3424521500535923,0.41655725242541475,1.2264944392881345,0.44686076947900605,2.438313012935748,0.9445026487183398,0.9940179461615154,3.6475675374140026
