LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(mm),(mm),(mm),(frame),,(mm),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(mm),(mm),(mm),(mm),(radians),,(mm^2),(mm),,,
ID53713,53713,0,0.8711274862289429,1.5230008734508904,1.9608972492626298,0.0,0.0,0,0.4189093568848991,1,,149.72378516624042,166.0,33.0,184.0,58542.0,40.722518460163414,0.9513272019604662,3.5849737585298427,7.698436599227517E-6,-0.008272432319635035,0.6286483714288169,0.28276870422191586,1.5010044360334118,2.2231893489014114,0.55130254165086,3.0204643495512165,0.7593682422898484,0.986232790988736,4.067979135549301
ID53716,53716,0,0.8489677309989929,1.5274569374653413,1.939846835843543,0.0,1.0,1,0.40402565180667416,1,,153.66666666666666,184.0,38.0,184.0,55781.0,39.35729051597371,0.9349971639251277,3.7732400416190197,-0.0018041724101576977,-0.007188018707702243,0.6204385407239915,0.267349793673481,1.502660569105659,2.320699530749382,0.5128233033376656,3.044598404343415,0.6952125205399365,0.9708609271523181,4.251538728136517
ID53718,53718,0,0.8308291435241699,1.521130947465772,1.942081881389242,0.0,2.0,2,0.41004396850212627,1,,151.42175066312998,184.0,33.0,184.0,57086.0,41.92102318914591,0.9443975940320933,3.508780344026512,3.6055776533602807E-4,-0.009421740707814449,0.6365517710480049,0.267409169179781,1.507252212345675,2.3804410783687326,0.5282149986629435,3.0756394455476967,0.7016972080468458,0.9630102040816325,4.231847975390007
ID53719,53719,0,0.8327024579048157,1.533902692387078,1.9719696687724362,0.0,3.0,3,0.4051265411819123,1,,146.16216216216216,166.0,27.0,184.0,54080.0,44.198255930417915,0.941861636918477,3.2079578114352167,-0.0012873940984180388,-0.0036044575317531356,0.6510049218881098,0.25631991541009325,1.4824678176460793,2.539814047794722,0.515621793396807,3.0394452363630142,0.7013785557331015,0.9826666666666668,4.23280917887298
ID53721,53721,0,0.8551204204559326,1.5566329408087416,1.975714664292947,0.0,4.0,4,0.40430115518120996,1,,151.29347826086956,184.0,38.0,184.0,55676.0,40.995125128806556,0.9443451740013619,3.5848862970190654,8.107144841351933E-4,-0.006922641754284151,0.6297257661279023,0.26218468345948837,1.4949326843750088,2.4018404043240182,0.513522925852451,3.0056310183494475,0.7143291501896761,0.9721854304635764,4.194263832317646
ID53724,53724,0,0.8427709341049194,1.5539322248315062,1.9569698203470913,0.0,5.0,5,0.39085800420909833,1,,149.15697674418604,184.0,22.0,184.0,51310.0,46.40647899044901,0.9319918174584624,3.1009999990930246,-5.316183980367E-4,-5.491489329348165E-4,0.6503412353547581,0.23896359313598775,1.4874012919473099,2.721507602141998,0.4799410451427539,2.9788679969206164,0.6796655219141341,0.9828080229226361,4.299889669720776
ID53725,53725,0,0.8650658130645752,1.6017199990677506,1.960053138182579,0.0,6.0,6,0.40841140474606613,1,,150.80851063829786,172.0,46.0,184.0,56704.0,40.91298775909534,0.9506696383474945,3.592862114460089,0.00254155361378483,-0.003410177258556103,0.6443915490135248,0.2632590417736508,1.5169466660085036,2.4477470732707842,0.5240172635742314,3.0308872921817964,0.7168295256901042,0.9829396325459323,4.1869424293365185
