LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(mm),(mm),(mm),(frame),,(mm),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(mm),(mm),(mm),(mm),(radians),,(mm^2),(mm),,,
ID22245,22245,0,0.8609281778335571,0.8715769639132545,0.41063556179750466,0.0,0.0,0,0.39767090830088386,1,,229.14116379310346,255.0,0.0,255.0,212643.0,54.58060661726769,0.6676254161231328,3.36146898179983,7.694752517352596E-4,-0.007916021804205855,0.5113716780769229,0.3143050185033975,-1.4122903147060426,1.6269917690525046,0.4968182207747686,2.7388474083333207,0.8322843066544984,0.9840848806366047,3.8856983160037544
ID22248,22248,0,0.8633513450622559,0.8796099455719287,0.44801544131757776,0.0,1.0,1,0.40066095723112444,1,,228.47346072186838,255.0,0.0,255.0,215222.0,55.83221064495712,0.6699561695007789,3.2833883289158425,5.205028599434757E-4,-0.014933224193238897,0.5330634408067291,0.3051637714583408,-1.4705501896914945,1.7468110262869125,0.5043173637298594,2.7589631493353344,0.8325723538222987,0.9791991679667184,3.8850260854071292
ID22253,22253,0,0.8781118392944336,0.9243713915067792,0.4586444771457086,0.0,2.0,2,0.4066799197943912,1,,232.4890965732087,255.0,2.0,255.0,223887.0,49.52005238135687,0.6694286829958045,3.765199009616855,0.0017085670736389769,-0.008231482763806938,0.5446083012340597,0.3060558370498022,1.6589660936403112,1.7794409885586975,0.5195834761741515,2.7845985947725693,0.842054102146326,0.9788092835519676,3.8630909594127214
ID22258,22258,0,0.8597621917724609,0.9338854419332403,0.44844096063262157,0.0,3.0,3,0.4057354934703955,1,,238.484243697479,255.0,2.0,255.0,227037.0,40.94932576239503,0.6641179080423062,4.648405735706273,8.057020559606226E-4,-0.009475377252987884,0.5417817362049111,0.3088516861900664,-1.4341547236037546,1.7541809238221229,0.5171730373671579,2.816980616024056,0.818988911738688,0.9826972010178118,3.917111384618556
ID22261,22261,0,0.856612503528595,0.9579787931835304,0.46475809409147323,0.0,4.0,4,0.4047888636800157,1,,227.82559339525284,255.0,0.0,255.0,220763.0,56.05626900458845,0.6646092438348766,3.2453563649954247,-0.0015045898708068931,-0.004566685635397034,0.5387387989857384,0.3066038356769403,-1.4192396809933077,1.7571169577715007,0.5147625985601646,2.7405969378628647,0.8612446007916927,0.9897013388259528,3.8198092481797743
ID22264,22264,0,0.8658654093742371,0.973299485236401,0.4563928637074139,0.0,5.0,5,0.4061555096216523,1,,233.9721649484536,255.0,0.0,255.0,226953.0,52.39502501664731,0.67114076836963,3.5867798709385705,-0.0016084610947787316,-0.009503924492119438,0.5439443350263766,0.30718409612857284,-1.4786913253928446,1.770743804388581,0.5182443435035996,2.7614515193081806,0.8540230423163467,0.9897698209718672,3.8359252694050974
ID22268,22268,0,0.8803573846817017,1.0131885816564898,0.4619004701589805,0.0,6.0,6,0.40235958045856907,1,,238.98392282958199,255.0,0.0,255.0,222972.0,44.69165651268728,0.6769820394422843,4.317386851873921,-0.0024889573370515208,-0.003076149442183536,0.533101710980427,0.30555492025845116,-1.4054059014086144,1.7447001361637615,0.5086025882756255,2.7187888830210767,0.8646442527646069,0.9808884297520659,3.8122923925850887
