LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(mm),(mm),(mm),(sec),,(mm),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(mm),(mm),(mm),(mm),(radians),,(mm^2),(mm),,,
ID3884,3884,0,0.8770785927772522,4.6953556350534225,0.7708617001474327,0.0,0.0,0,0.36528615641720874,1,,210.90255785627284,233.0,40.0,233.0,173151.0,42.265049342079166,0.9598166238931279,4.887685943352723,0.0032477836941699027,0.003701781916861607,0.4558455584645059,0.29563038293689997,-0.8703858124898725,1.5419442140417707,0.4191951989609689,2.444762495407496,0.881358941828035,0.9898869720404518,3.7759699072246273
ID3888,3888,0,0.8802430033683777,4.731454212963232,0.7715226815570564,0.0,1.0,1,0.35368680010099174,1,,204.0990990990991,233.0,40.0,233.0,158585.0,48.31228111897992,0.9642668531092208,4.147728203371173,0.0021252332275105736,0.0016752068572123426,0.45574457750238423,0.27698603684934836,-0.9218884339817888,1.6453702240241876,0.39299549902590825,2.3535395633917626,0.891567920869202,0.9955328653477981,3.7542891217710546
ID3893,3893,0,0.8864762187004089,4.759549185577603,0.7784851051620426,0.0,2.0,2,0.3520961671760849,1,,208.6346153846154,233.0,3.0,233.0,162735.0,45.481320706725576,0.9626652194068496,4.499998289503284,0.0022579438025922475,0.0013527532650994345,0.4409958070347704,0.2829474857960905,-0.8711656697239157,1.5585782845675444,0.38946861634234264,2.3518531932605047,0.8848342278534554,0.9828353464717099,3.768547338396673
ID3899,3899,0,0.8811960220336914,4.757373989316621,0.7780653830190234,0.0,3.0,3,0.35515743762974505,1,,203.79393173198483,233.0,10.0,233.0,161201.0,48.70917844098164,0.9579011839997701,4.093929694958217,0.00236964389713206,0.0040092559158897865,0.4494060762126682,0.2835693062928554,-0.8967218511659382,1.5848191826112001,0.39627046151779094,2.3786503007245603,0.8801169146084411,0.9855889724310779,3.7786333056344232
ID3902,3902,0,0.9092273712158203,4.785364502925606,0.7724552595680899,0.0,4.0,4,0.35583414342777575,1,,204.52544529262087,233.0,33.0,233.0,160757.0,47.68514024431384,0.9595056643127974,4.2004449559882335,0.003533819682783853,0.0028563348286568596,0.45164533410064295,0.2828095215530611,-0.8906263418504086,1.5969947957212065,0.39778198266789067,2.391912591524859,0.8737040765090006,0.9868750000000001,3.792475213017194
ID3907,3907,0,0.8873717784881592,4.805814673817035,0.7958977308804365,0.0,5.0,5,0.35334655298028966,1,,206.18041237113403,233.0,17.0,233.0,159996.0,45.6692279015096,0.9515192063595624,4.402490822271375,0.0018893694393744644,5.77743030157615E-4,0.45029341818523616,0.27950912756206725,-0.8813826585535546,1.611015075295689,0.3922397384508587,2.3548887658203923,0.8888339997980657,0.988571428571428,3.760058505972206
ID3911,3911,0,0.8971842527389526,4.832171360636239,0.7851986600677924,0.0,6.0,6,0.3544794399940195,1,,209.5407124681934,233.0,40.0,233.0,164699.0,45.12122662312989,0.9586044271149289,4.545798834781069,0.002031185625260547,0.0010441990849648466,0.4522286319459939,0.2810886196331778,-0.8401374025324176,1.6088471761544623,0.3947589403676914,2.3538759091098362,0.8953126285650712,0.9898926089703096,3.7464296064848797
