LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(mm),(mm),(mm),(sec),,(mm),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(mm),(mm),(mm),(mm),(radians),,(mm^2),(mm),,,
ID14841,14841,10,0.8641348481178284,5.487767285239731,1.2024991371066618,0.0,0.0,0,0.48384441647201926,1,,228.31935483870967,255.0,5.0,255.0,141558.0,48.328553251229756,0.9086841629024771,4.498293814526132,-0.0021042712444810864,-5.69775760107907E-4,0.535286202436141,0.44050418904877586,0.7767197763480173,1.2151671101971522,0.7354638655991269,3.169041215236726,0.9202703485701338,0.9826498422712935,3.6952788594874293
ID14858,14858,10,0.8661996126174927,5.5297515959613746,1.239383392409685,0.0,1.0,1,0.4867480897658348,1,,228.76349206349207,255.0,5.0,255.0,144121.0,51.51701465144157,0.8937104778735628,4.191305259432119,0.001420248089663706,0.008170651889887443,0.5544642203874217,0.43215362514074734,1.2305259830423274,1.2830257300441232,0.7443177644626798,3.3050319051728687,0.8562822384936949,0.9495481927710845,3.830861616916839
ID14885,14885,10,0.9061635732650757,5.5279713601175136,1.2023859862788606,0.0,2.0,2,0.5056799974499266,1,,222.00881057268722,255.0,0.0,255.0,151188.0,59.463903375179456,0.8815596716903134,3.4984889784332864,-0.0014170404089279436,5.573021054933994E-4,0.557763922473238,0.46166107223528524,0.743246198836069,1.2081675411198067,0.8033437568863655,3.2848038625412794,0.935604714536512,0.9883805374001452,3.6648713269042013
ID14901,14901,10,0.9038305282592773,5.594490040554434,1.1648855074493996,0.0,3.0,3,0.4770004448903112,1,,232.83828382838283,255.0,0.0,255.0,141100.0,49.28913097988548,0.9034726768832394,4.484371666841801,-1.0235497474832825E-4,0.002137011282954458,0.5502880429703461,0.41726401214586567,0.8247498696963772,1.3188006320995118,0.7148047682508369,3.1280164705146105,0.9180350076813978,0.9869600651996743,3.6997749765956396
ID14915,14915,10,0.9086010456085205,5.605464571835568,1.2103668327949992,0.0,4.0,4,0.48442654351207565,1,,218.91332263242376,255.0,0.0,255.0,136383.0,62.149949872605866,0.8860952845773356,3.309620529277031,5.800238552066749E-5,0.0019305707099986143,0.5359465438048227,0.4413004488477239,0.8467273399916635,1.2144708785233018,0.7372346453718376,3.1497256197723535,0.933835014978888,0.9865718799368086,3.6683423101169623
ID14931,14931,10,0.8887783288955688,5.624363095644123,1.1924245628918844,0.0,5.0,5,0.49554660636373327,1,,221.359756097561,255.0,0.0,255.0,145212.0,59.74358820956546,0.9442357546017989,3.598892516573561,-0.0030876049763397823,6.239313717797153E-4,0.5671545196193889,0.4361372349209278,0.7318865292158568,1.3004038046011244,0.7714697209775755,3.284655799605446,0.8985640031301962,0.983446200150489,3.7396454014193887
ID14943,14943,10,0.9023199081420898,5.695174395970305,1.2219914914920489,0.0,6.0,6,0.5128740557132547,1,,218.8530670470756,255.0,0.0,255.0,153416.0,60.60520800235109,0.8602020158665126,3.3397428760461505,5.844012769219435E-4,0.0025615760763282036,0.5842504043129703,0.4531347304860834,0.9586063370949456,1.2893525148386604,0.8263638939316034,3.3256095707132594,0.938941802712074,0.9950248756218905,3.6583528798972074
