 ,Area(linea_horizontal_1),Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Angle(linea_horizontal_1),Median(linea_horizontal_1),Length(linea_horizontal_1),Area(linea_vertical_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Angle(linea_vertical_1),Median(linea_vertical_1),Length(linea_vertical_1),Area(ovalo_1),Mean(ovalo_1),StdDev(ovalo_1),Angle(ovalo_1),Median(ovalo_1),Length(ovalo_1),Area(linea_horizontal_2),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Angle(linea_horizontal_2),Median(linea_horizontal_2),Length(linea_horizontal_2),Area(linea_vertical_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Angle(linea_vertical_2),Median(linea_vertical_2),Length(linea_vertical_2),Area(ovalo_2),Mean(ovalo_2),StdDev(ovalo_2),Angle(ovalo_2),Median(ovalo_2),Length(ovalo_2),Area(linea_horizontal_3),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Angle(linea_horizontal_3),Median(linea_horizontal_3),Length(linea_horizontal_3),Area(linea_vertical_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Angle(linea_vertical_3),Median(linea_vertical_3),Length(linea_vertical_3),Area(ovalo_3),Mean(ovalo_3),StdDev(ovalo_3),Angle(ovalo_3),Median(ovalo_3),Length(ovalo_3),Area(linea_horizontal_4),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Angle(linea_horizontal_4),Median(linea_horizontal_4),Length(linea_horizontal_4),Area(linea_vertical_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Angle(linea_vertical_4),Median(linea_vertical_4),Length(linea_vertical_4),Area(ovalo_4),Mean(ovalo_4),StdDev(ovalo_4),Angle(ovalo_4),Median(ovalo_4),Length(ovalo_4)
12,51,61.863,12.427,0,62,50,51,63.137,24.456,90,68,50,1976,61.796,25.011,0,55,0,51,70.235,15.590,0,71,50,51,68.882,25.316,90,75,50,1976,67.941,27.266,0,62,0,51,83.235,21.801,0,87,50,51,79.216,27.697,90,91,50,1976,76.869,31.669,0,71,0,51,88.020,23.289,0,91,50,51,85.843,31.108,90,100,50,1976,81.031,33.084,0,75,0
13,51,61.451,12.057,0,62,50,51,63.647,24.863,90,68,50,1976,62.045,25.133,0,55,0,51,70.176,15.227,0,69,50,51,68.569,25.195,90,75,50,1976,67.556,27.064,0,62,0,51,83.137,21.514,0,89,50,51,79.078,27.880,90,91,50,1976,76.769,31.425,0,71,0,51,87.706,23.504,0,91,50,51,85.647,30.893,90,100,50,1976,80.997,33.080,0,75,0
14,51,61.647,12.198,0,62,50,51,63.510,24.878,90,68,50,1976,62.056,25.184,0,55,0,51,69.784,15.195,0,69,50,51,68.059,25.113,90,73,50,1976,67.289,26.988,0,62,0,51,83.098,21.193,0,89,50,51,78.922,28.061,90,91,50,1976,76.775,31.504,0,71,0,51,87.824,23.670,0,91,50,51,85.314,30.829,90,102,50,1976,80.971,33.103,0,75,0
15,51,61.647,12.169,0,62,50,51,63.608,25.114,90,68,50,1976,62.093,25.368,0,57,0,51,69.333,14.680,0,69,50,51,67.784,25.022,90,73,50,1976,66.948,26.847,0,60,0,51,82.765,21.456,0,89,50,51,78.353,28.108,90,91,50,1976,76.544,31.411,0,71,0,51,87.745,23.384,0,89,50,51,85.196,30.791,90,102,50,1976,80.909,33.033,0,75,0
16,51,62.353,12.345,0,62,50,51,64.000,24.935,90,68,50,1976,62.325,25.483,0,57,0,51,68.824,14.154,0,68,50,51,66.725,24.343,90,73,50,1976,66.345,26.530,0,60,0,51,82.627,21.242,0,85,50,51,78.647,27.988,90,91,50,1976,76.456,31.454,0,71,0,51,87.529,23.616,0,89,50,51,84.627,30.655,90,100,50,1976,80.632,32.931,0,75,0
17,51,61.882,11.991,0,62,50,51,64.333,25.262,90,71,50,1976,62.342,25.484,0,57,0,51,68.314,13.909,0,68,50,51,66.667,24.596,90,73,50,1976,65.998,26.423,0,60,0,51,83.098,21.553,0,87,50,51,78.667,27.993,90,91,50,1976,76.676,31.605,0,71,0,51,87.235,23.005,0,89,50,51,84.490,30.510,90,102,50,1976,80.620,32.812,0,75,0
18,51,62.333,12.247,0,62,50,51,64.529,25.424,90,69,50,1976,62.554,25.452,0,57,0,51,68.176,14.209,0,66,50,51,66.255,24.713,90,73,50,1976,65.686,26.501,0,60,0,51,82.922,21.471,0,87,50,51,79.020,28.252,90,91,50,1976,76.855,31.734,0,71,0,51,87.216,23.071,0,89,50,51,84.275,30.219,90,102,50,1976,80.415,32.753,0,75,0
19,51,62.216,12.052,0,62,50,51,64.725,24.680,90,69,50,1976,62.608,25.301,0,57,0,51,67.451,14.052,0,66,50,51,65.961,24.705,90,73,50,1976,65.404,26.348,0,60,0,51,82.667,21.682,0,85,50,51,79.059,28.446,90,91,50,1976,76.730,31.857,0,71,0,51,86.843,23.078,0,89,50,51,83.961,29.925,90,100,50,1976,80.133,32.493,0,75,0
20,51,62.353,11.595,0,60,50,51,64.255,25.053,90,69,50,1976,62.547,25.174,0,57,0,51,66.569,13.825,0,66,50,51,65.196,24.620,90,71,50,1976,64.898,26.172,0,60,0,51,82.392,21.314,0,85,50,51,79.078,28.544,90,91,50,1976,76.655,31.776,0,71,0,51,86.667,22.808,0,89,50,51,83.686,29.754,90,100,50,1976,79.975,32.470,0,73,0
21,51,61.843,11.530,0,60,50,51,64.235,24.852,90,68,50,1976,62.384,24.839,0,59,0,51,66.020,13.213,0,66,50,51,64.863,24.793,90,69,50,1976,64.592,25.993,0,59,0,51,82.529,21.456,0,85,50,51,78.569,28.038,90,91,50,1976,76.561,31.550,0,71,0,51,86.000,22.909,0,89,50,51,83.255,29.673,90,100,50,1976,79.682,32.483,0,73,0
