 ,Area(linea_horizontal_1),Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Min(linea_horizontal_1),Max(linea_horizontal_1),Angle(linea_horizontal_1),Feret(linea_horizontal_1),FeretX(linea_horizontal_1),FeretY(linea_horizontal_1),FeretAngle(linea_horizontal_1),MinFeret(linea_horizontal_1),Length(linea_horizontal_1),Area(linea_vertical_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Min(linea_vertical_1),Max(linea_vertical_1),Angle(linea_vertical_1),Feret(linea_vertical_1),FeretX(linea_vertical_1),FeretY(linea_vertical_1),FeretAngle(linea_vertical_1),MinFeret(linea_vertical_1),Length(linea_vertical_1),Area(ovalo_1),Mean(ovalo_1),StdDev(ovalo_1),Min(ovalo_1),Max(ovalo_1),Feret(ovalo_1),FeretX(ovalo_1),FeretY(ovalo_1),FeretAngle(ovalo_1),MinFeret(ovalo_1),Area(linea_horizontal_2),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Min(linea_horizontal_2),Max(linea_horizontal_2),Angle(linea_horizontal_2),Feret(linea_horizontal_2),FeretX(linea_horizontal_2),FeretY(linea_horizontal_2),FeretAngle(linea_horizontal_2),MinFeret(linea_horizontal_2),Length(linea_horizontal_2),Area(linea_vertical_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Min(linea_vertical_2),Max(linea_vertical_2),Angle(linea_vertical_2),Feret(linea_vertical_2),FeretX(linea_vertical_2),FeretY(linea_vertical_2),FeretAngle(linea_vertical_2),MinFeret(linea_vertical_2),Length(linea_vertical_2),Area(ovalo_2),Mean(ovalo_2),StdDev(ovalo_2),Min(ovalo_2),Max(ovalo_2),Feret(ovalo_2),FeretX(ovalo_2),FeretY(ovalo_2),FeretAngle(ovalo_2),MinFeret(ovalo_2),Area(linea_horizontal_3),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Min(linea_horizontal_3),Max(linea_horizontal_3),Angle(linea_horizontal_3),Feret(linea_horizontal_3),FeretX(linea_horizontal_3),FeretY(linea_horizontal_3),FeretAngle(linea_horizontal_3),MinFeret(linea_horizontal_3),Length(linea_horizontal_3),Area(linea_vertical_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Min(linea_vertical_3),Max(linea_vertical_3),Angle(linea_vertical_3),Feret(linea_vertical_3),FeretX(linea_vertical_3),FeretY(linea_vertical_3),FeretAngle(linea_vertical_3),MinFeret(linea_vertical_3),Length(linea_vertical_3),Area(ovalo_3),Mean(ovalo_3),StdDev(ovalo_3),Min(ovalo_3),Max(ovalo_3),Feret(ovalo_3),FeretX(ovalo_3),FeretY(ovalo_3),FeretAngle(ovalo_3),MinFeret(ovalo_3),Area(linea_horizontal_4),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Min(linea_horizontal_4),Max(linea_horizontal_4),Angle(linea_horizontal_4),Feret(linea_horizontal_4),FeretX(linea_horizontal_4),FeretY(linea_horizontal_4),FeretAngle(linea_horizontal_4),MinFeret(linea_horizontal_4),Length(linea_horizontal_4),Area(linea_vertical_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Min(linea_vertical_4),Max(linea_vertical_4),Angle(linea_vertical_4),Feret(linea_vertical_4),FeretX(linea_vertical_4),FeretY(linea_vertical_4),FeretAngle(linea_vertical_4),MinFeret(linea_vertical_4),Length(linea_vertical_4),Area(ovalo_4),Mean(ovalo_4),StdDev(ovalo_4),Min(ovalo_4),Max(ovalo_4),Feret(ovalo_4),FeretX(ovalo_4),FeretY(ovalo_4),FeretAngle(ovalo_4),MinFeret(ovalo_4)
54,51,83.667,16.163,41,121,0,50,96,66,0,0,50,51,100.118,27.702,66,150,90,50,121,41,90,0,50,1976,91.481,26.924,35,170,50,96,66,0,50,51,89.471,13.476,46,109,0,50,96,167,0,0,50,51,108.510,33.652,64,180,90,50,121,142,90,0,50,1976,98.781,29.432,37,200,50,96,167,0,50,49,97.796,10.458,53,116,0,48,96,268,0,0,48,51,95.294,19.952,68,128,90,50,120,243,90,0,50,1888,104.238,29.046,10,255,50,120,293,90,48,47,104.404,8.624,82,128,0,46,96,369,0,0,46,51,106.902,25.414,68,141,90,50,119,344,90,0,50,1804,107.448,27.369,12,255,50,119,394,90,46
55,51,83.510,16.203,41,123,0,50,96,66,0,0,50,51,100.490,27.835,66,150,90,50,121,41,90,0,50,1976,91.165,27.045,35,173,50,96,66,0,50,51,90.510,13.785,46,110,0,50,96,167,0,0,50,51,107.490,32.840,62,177,90,50,121,142,90,0,50,1976,98.419,29.219,37,202,50,96,167,0,50,49,97.653,10.750,55,118,0,48,96,268,0,0,48,51,94.196,20.224,66,128,90,50,120,243,90,0,50,1888,103.730,29.030,12,255,50,120,293,90,48,47,103.766,9.008,78,127,0,46,96,369,0,0,46,51,106.431,25.549,68,143,90,50,119,344,90,0,50,1804,106.940,27.520,12,255,50,119,394,90,46
56,51,83.000,16.207,41,125,0,50,96,66,0,0,50,51,100.922,28.406,62,153,90,50,121,41,90,0,50,1976,91.050,27.352,35,177,50,96,66,0,50,51,89.804,13.399,46,109,0,50,96,167,0,0,50,51,106.510,32.293,62,173,90,50,121,142,90,0,50,1976,98.059,28.856,37,202,50,96,167,0,50,49,96.980,10.550,55,118,0,48,96,268,0,0,48,51,94.216,20.667,66,128,90,50,120,243,90,0,50,1888,103.384,28.685,10,255,50,120,293,90,48,47,102.915,8.973,78,125,0,46,96,369,0,0,46,51,105.824,25.604,68,141,90,50,119,344,90,0,50,1804,106.210,27.407,12,255,50,119,394,90,46
57,51,82.784,16.022,41,125,0,50,96,66,0,0,50,51,101.020,29.364,64,155,90,50,121,41,90,0,50,1976,91.213,27.748,35,179,50,96,66,0,50,51,89.647,13.209,46,107,0,50,96,167,0,0,50,51,105.863,32.157,62,171,90,50,121,142,90,0,50,1976,97.773,28.645,35,198,50,96,167,0,50,49,96.796,10.178,55,114,0,48,96,268,0,0,48,51,93.627,20.817,66,128,90,50,120,243,90,0,50,1888,102.972,28.465,12,255,50,120,293,90,48,47,102.191,8.772,80,125,0,46,96,369,0,0,46,51,105.275,25.206,66,139,90,50,119,344,90,0,50,1804,105.596,27.323,14,255,50,119,394,90,46
58,51,82.922,15.618,44,123,0,50,96,66,0,0,50,51,101.294,28.875,64,157,90,50,121,41,90,0,50,1976,91.360,27.847,35,184,50,96,66,0,50,51,90.020,13.640,46,109,0,50,96,167,0,0,50,51,104.863,31.502,60,166,90,50,121,142,90,0,50,1976,97.434,28.378,35,195,50,96,167,0,50,49,96.735,10.004,55,114,0,48,96,268,0,0,48,51,93.020,20.354,68,125,90,50,120,243,90,0,50,1888,102.661,28.001,14,255,50,120,293,90,48,47,102.319,9.196,78,127,0,46,96,369,0,0,46,51,105.118,25.162,66,139,90,50,119,344,90,0,50,1804,105.216,26.867,14,255,50,119,394,90,46
59,51,83.275,15.946,44,123,0,50,96,66,0,0,50,51,102.569,29.493,68,159,90,50,121,41,90,0,50,1976,91.751,28.093,35,186,50,96,66,0,50,51,89.353,13.067,44,107,0,50,96,167,0,0,50,51,104.039,31.556,60,164,90,50,121,142,90,0,50,1976,96.828,28.079,35,196,50,96,167,0,50,49,97.367,10.317,53,114,0,48,96,268,0,0,48,51,92.569,20.822,68,128,90,50,120,243,90,0,50,1888,102.199,27.621,14,255,50,120,293,90,48,47,102.383,8.799,82,127,0,46,96,369,0,0,46,51,103.882,24.917,64,137,90,50,119,344,90,0,50,1804,104.453,26.605,12,255,50,119,394,90,46
60,51,82.824,15.943,44,119,0,50,96,66,0,0,50,51,102.569,29.078,68,161,90,50,121,41,90,0,50,1976,91.560,28.101,35,186,50,96,66,0,50,51,90.353,14.080,44,109,0,50,96,167,0,0,50,51,104.275,31.514,60,162,90,50,121,142,90,0,50,1976,97.080,28.005,37,200,50,96,167,0,50,49,96.939,9.816,55,110,0,48,96,268,0,0,48,51,92.373,21.214,68,127,90,50,120,243,90,0,50,1888,101.644,27.291,16,255,50,120,293,90,48,47,101.064,8.466,80,123,0,46,96,369,0,0,46,51,103.471,24.844,66,137,90,50,119,344,90,0,50,1804,103.911,26.228,14,255,50,119,394,90,46
61,51,82.118,16.156,44,119,0,50,96,66,0,0,50,51,103.039,29.322,69,157,90,50,121,41,90,0,50,1976,91.103,28.264,35,186,50,96,66,0,50,51,88.608,13.098,44,103,0,50,96,167,0,0,50,51,103.000,30.928,60,159,90,50,121,142,90,0,50,1976,96.136,27.718,35,193,50,96,167,0,50,49,96.571,9.387,55,110,0,48,96,268,0,0,48,51,91.529,21.202,64,123,90,50,120,243,90,0,50,1888,101.129,26.859,21,255,50,120,293,90,48,47,100.872,8.433,78,123,0,46,96,369,0,0,46,51,103.176,25.063,64,137,90,50,119,344,90,0,50,1804,102.725,25.964,14,255,50,119,394,90,46
62,51,81.745,15.736,44,118,0,50,96,66,0,0,50,51,102.588,28.414,68,155,90,50,121,41,90,0,50,1976,90.990,27.989,37,187,50,96,66,0,50,51,90.588,13.649,44,109,0,50,96,167,0,0,50,51,102.961,30.497,60,157,90,50,121,142,90,0,50,1976,96.628,27.625,35,200,50,96,167,0,50,49,96.878,9.649,55,112,0,48,96,268,0,0,48,51,91.882,21.318,64,125,90,50,120,243,90,0,50,1888,100.790,26.431,23,255,50,120,293,90,48,47,100.894,8.220,78,123,0,46,96,369,0,0,46,51,102.922,25.020,64,137,90,50,119,344,90,0,50,1804,102.470,25.792,16,255,50,119,394,90,46
63,51,82.176,15.963,44,118,0,50,96,66,0,0,50,51,102.196,28.534,68,155,90,50,121,41,90,0,50,1976,90.867,27.969,37,187,50,96,66,0,50,51,89.196,13.934,44,107,0,50,96,167,0,0,50,51,102.098,29.931,59,152,90,50,121,142,90,0,50,1976,95.945,27.460,35,196,50,96,167,0,50,49,96.673,9.660,55,110,0,48,96,268,0,0,48,51,91.706,21.471,64,127,90,50,120,243,90,0,50,1888,100.713,26.049,19,255,50,120,293,90,48,47,100.894,7.653,80,121,0,46,96,369,0,0,46,51,102.980,24.721,66,137,90,50,119,344,90,0,50,1804,102.276,25.536,17,255,50,119,394,90,46
