 ,Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Min(linea_horizontal_1),Max(linea_horizontal_1),Angle(linea_horizontal_1),Length(linea_horizontal_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Min(linea_vertical_1),Max(linea_vertical_1),Angle(linea_vertical_1),Length(linea_vertical_1),Mean(ovalo_1),StdDev(ovalo_1),Min(ovalo_1),Max(ovalo_1),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Min(linea_horizontal_2),Max(linea_horizontal_2),Angle(linea_horizontal_2),Length(linea_horizontal_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Min(linea_vertical_2),Max(linea_vertical_2),Angle(linea_vertical_2),Length(linea_vertical_2),Mean(ovalo_2),StdDev(ovalo_2),Min(ovalo_2),Max(ovalo_2),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Min(linea_horizontal_3),Max(linea_horizontal_3),Angle(linea_horizontal_3),Length(linea_horizontal_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Min(linea_vertical_3),Max(linea_vertical_3),Angle(linea_vertical_3),Length(linea_vertical_3),Mean(ovalo_3),StdDev(ovalo_3),Min(ovalo_3),Max(ovalo_3),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Min(linea_horizontal_4),Max(linea_horizontal_4),Angle(linea_horizontal_4),Length(linea_horizontal_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Min(linea_vertical_4),Max(linea_vertical_4),Angle(linea_vertical_4),Length(linea_vertical_4),Mean(ovalo_4),StdDev(ovalo_4),Min(ovalo_4),Max(ovalo_4)
586,48.980,25.524,16,105,0,50,35.098,6.649,23,50,90,50,41.967,18.827,7,105,47.784,25.588,16,105,0,50,33.980,6.243,21,46,90,50,40.873,18.807,7,103,47.353,32.128,14,139,0,50,30.922,4.866,21,41,90,50,39.507,22.094,5,137,45.294,22.303,14,91,0,50,32.569,4.896,23,42,90,50,39.093,16.947,5,94
587,48.902,25.097,16,103,0,50,34.941,6.156,25,48,90,50,41.746,18.699,7,105,47.333,25.989,14,107,0,50,33.510,6.407,21,46,90,50,40.672,18.905,5,105,47.843,32.317,14,141,0,50,31.059,5.530,21,46,90,50,39.489,22.134,5,137,45.059,22.030,14,91,0,50,32.824,5.094,23,42,90,50,39.023,16.860,5,93
588,48.804,25.109,16,103,0,50,34.510,6.185,23,48,90,50,41.569,18.761,7,103,47.569,25.506,16,105,0,50,33.804,6.465,21,46,90,50,40.810,18.976,5,107,48.196,32.753,14,141,0,50,31.373,5.142,23,41,90,50,39.917,22.314,7,141,44.529,21.598,14,91,0,50,32.608,5.056,23,42,90,50,38.950,16.832,5,94
589,48.667,25.296,16,103,0,50,34.863,6.151,23,48,90,50,41.600,18.720,7,105,47.745,26.185,16,110,0,50,33.824,6.199,21,46,90,50,40.684,19.109,5,109,47.706,32.644,14,141,0,50,30.745,5.542,21,41,90,50,39.369,21.977,7,139,44.725,21.666,14,91,0,50,32.569,5.013,23,42,90,50,38.773,16.817,5,94
590,48.431,25.489,16,105,0,50,34.824,6.154,23,48,90,50,41.529,18.746,7,105,47.529,26.721,14,110,0,50,33.745,6.023,21,46,90,50,40.672,19.301,5,109,47.843,32.304,14,136,0,50,31.098,5.072,23,41,90,50,39.853,21.798,7,134,44.667,22.013,14,91,0,50,32.373,5.234,21,42,90,50,38.607,16.867,5,94
591,48.137,25.290,14,103,0,50,34.431,6.325,23,48,90,50,41.606,18.752,7,105,47.588,26.881,16,110,0,50,34.039,6.190,21,46,90,50,40.764,19.422,5,110,46.765,28.033,14,116,0,50,31.882,5.086,21,44,90,50,39.284,19.898,7,116,44.255,22.120,14,89,0,50,31.980,5.339,21,42,90,50,38.524,16.761,5,94
592,48.176,25.439,14,105,0,50,34.569,5.900,25,46,90,50,41.419,18.759,5,105,47.451,27.758,14,114,0,50,33.608,6.274,21,46,90,50,40.703,19.687,5,112,47.176,26.667,14,110,0,50,32.667,5.750,23,44,90,50,40.203,19.366,5,107,44.373,21.739,14,87,0,50,32.627,4.617,23,42,90,50,38.338,16.631,5,91
593,48.392,25.462,16,105,0,50,34.490,5.914,23,46,90,50,41.470,18.822,7,107,47.882,27.755,14,116,0,50,33.686,6.005,23,46,90,50,40.874,19.876,5,114,47.784,26.339,14,105,0,50,33.176,5.110,23,44,90,50,40.704,19.154,7,109,44.392,21.710,12,91,0,50,32.255,5.215,21,44,90,50,38.141,16.580,7,91
594,47.863,25.627,16,107,0,50,33.745,6.082,23,46,90,50,41.152,18.861,7,107,48.588,27.886,14,116,0,50,33.059,5.849,23,44,90,50,40.846,20.093,5,116,48.529,25.965,14,105,0,50,34.000,5.381,21,44,90,50,41.207,19.061,7,105,44.471,21.657,14,89,0,50,32.176,5.070,21,42,90,50,38.074,16.530,5,91
595,48.157,25.970,14,109,0,50,33.725,6.024,23,46,90,50,41.253,19.125,7,109,48.549,28.676,14,119,0,50,33.216,6.081,23,48,90,50,40.852,20.531,5,121,48.627,25.141,16,103,0,50,34.902,5.522,25,46,90,50,41.734,19.048,7,103,43.961,21.973,12,89,0,50,32.118,5.283,21,42,90,50,37.937,16.557,5,93
596,47.667,26.803,14,110,0,50,33.569,6.054,23,48,90,50,40.972,19.342,7,109,48.804,29.144,14,119,0,50,33.255,5.936,23,48,90,50,40.981,20.907,5,121,48.549,24.616,14,100,0,50,34.784,5.626,23,44,90,50,41.885,18.745,5,100,44.176,22.294,12,91,0,50,31.706,5.232,21,42,90,50,37.797,16.482,7,93
597,48.176,26.781,14,112,0,50,33.863,5.444,23,44,90,50,41.106,19.408,5,112,48.471,29.746,14,121,0,50,33.157,6.275,21,46,90,50,40.896,21.095,7,121,49.569,24.466,14,100,0,50,35.392,5.759,25,46,90,50,42.770,18.950,7,100,43.824,22.302,12,91,0,50,31.608,5.618,21,42,90,50,37.773,16.445,7,93
598,47.922,27.190,14,112,0,50,33.314,6.081,21,44,90,50,40.960,19.641,5,112,49.098,30.462,14,123,0,50,33.118,6.298,21,48,90,50,41.194,21.581,5,125,49.294,24.324,14,100,0,50,36.235,5.962,23,46,90,50,42.902,18.863,7,100,43.843,22.038,12,89,0,50,31.373,5.269,21,42,90,50,37.621,16.484,5,93
599,48.431,27.681,14,116,0,50,33.843,6.208,23,46,90,50,41.127,19.875,5,114,48.902,30.532,14,125,0,50,32.902,6.347,21,46,90,50,41.186,21.671,5,125,50.529,24.432,14,100,0,50,36.941,5.951,25,46,90,50,43.675,19.158,7,102,43.255,21.906,12,87,0,50,31.314,5.198,21,42,90,50,37.427,16.338,7,93
600,48.510,27.968,14,119,0,50,33.784,6.236,23,48,90,50,41.309,20.221,7,116,49.529,30.958,14,128,0,50,32.588,6.014,21,44,90,50,41.382,22.095,7,128,50.392,24.903,14,102,0,50,37.000,5.899,25,48,90,50,43.687,19.289,5,105,43.549,21.875,12,91,0,50,31.549,4.900,21,42,90,50,37.374,16.287,5,93
