Snail,Total_mass(g),shell_mass
19,8.1661,1.1712
20,7.9804,1.3813
21,2.2694,0.2566
22,7.2145,1.1793
25,10.166,1.8588
26,5.5942,0.3611
30,2.7812,0.259
32,3.52,0.408
