LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(mm),(mm),(mm),(frame),,(mm),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(mm),(mm),(mm),(mm),(radians),,(mm^2),(mm),,,
ID10060,10060,0,0.8673365116119385,2.070191792969621,1.7596323133290817,0.0,24.0,24,0.6474404246106233,1,,239.29467084639498,255.0,0.0,255.0,229005.0,57.925114898510365,0.986897872592405,4.103862361514905,0.007738932486206931,0.020264072669849805,0.9592817961429504,0.44100325142478863,1.7375761648084485,2.175226130518795,1.3168899918425787,4.690849951760063,0.7520665602604987,0.9627579265223958,4.087679082380698
ID10064,10064,0,0.8859161138534546,2.2049057942900023,1.7556052424241586,0.0,25.0,25,0.6295954932711023,1,,243.2142064372919,255.0,0.0,255.0,219136.0,49.46363038927002,0.9811046855098312,4.870133553862921,0.009694881842771324,0.01957888455773484,0.9433603769818474,0.4286617377855346,1.7305930727681973,2.200710475946009,1.2452974360915974,4.595417176272331,0.7410253610117102,0.963771976558338,4.118019475391779
ID10066,10066,0,0.8799921870231628,2.313195992622577,1.7468157585183635,0.0,26.0,26,0.618712342462537,1,,243.30424799081516,255.0,0.0,255.0,211918.0,48.96626066061479,0.9811944429245004,4.921649999815958,0.006860246149869409,0.02664370425539856,0.9400206329374265,0.4138634019247346,-1.3788047398233276,2.271330657810567,1.2026172586246655,4.552470068914959,0.7291940190243649,0.9727171492204897,4.1512929612363045
ID10070,10070,0,0.8472189903259277,2.3689204647492224,1.6998294926632902,0.0,27.0,27,0.604561310109577,1,,240.96163069544363,255.0,0.0,255.0,200962.0,54.762466139661974,0.9605929366354281,4.311683231290146,6.380216584804913E-4,-0.0035672826160874616,0.9676939858921929,0.3842619871399658,1.695732585723976,2.5183182783565696,1.1482344518522851,4.484434062147857,0.7175053638943759,0.9720279720279721,4.184970066165821
ID10072,10072,0,0.8802469968795776,2.4784290492136085,1.7105532725906067,0.0,28.0,28,0.6020188361403448,1,,242.7948717948718,255.0,0.0,255.0,198849.0,49.63526551224846,0.9764209990875297,4.833222706521255,0.004044748684196336,0.02405652706790991,0.9154465711996467,0.4029903327320359,1.7525108736307422,2.271634073684748,1.1385969924242685,4.396226456377436,0.7403205167787437,0.9816023738872405,4.1199793506577205
ID10076,10076,0,0.8891648650169373,2.5832407405401865,1.7055130515226968,0.0,29.0,29,0.5985510619875436,1,,246.72353673723538,255.0,0.0,255.0,198119.0,41.49543473305689,0.9754449940729557,5.871892575298065,0.005015592067625227,0.03247246102139408,0.9097738718149946,0.39853154810470887,-1.4117037271396633,2.2828151902693627,1.1255175832005313,4.367233427881125,0.741565193070532,0.9915100060642817,4.11652031950345
ID10081,10081,0,0.8746614456176758,2.6477641771747216,1.721374838731232,0.0,30.0,30,0.592479847700683,1,,244.3622641509434,255.0,0.0,255.0,194268.0,43.279853020623136,0.9827314342327731,5.5969227770767755,0.004290690458032408,0.02628261773304002,0.889272583701795,0.3991945395290029,-1.4213909489484937,2.2276672039427687,1.1028007145487777,4.2750994224730094,0.7582535712266051,0.9816176470588237,4.070968104908119
