time,value,interval_20s,ID
0.1669449081803005,130.76211377617273,"[0,20]",19
1.669449081803005,128.0281610861239,"[0,20]",19
3.005008347245409,132.44184804264552,"[0,20]",19
4.3739565943238725,136.91319750124967,"[0,20]",19
5.843071786310517,137.38284467766147,"[0,20]",19
7.212020033388981,129.02120942861936,"[0,20]",19
8.647746243739565,128.28451704147977,"[0,20]",19
9.98330550918197,128.78200796268555,"[0,20]",19
11.385642737896493,131.94037587872754,"[0,20]",19
12.821368948247077,139.18482895219105,"[0,20]",19
14.190317195325543,137.92916195235745,"[0,20]",19
15.592654424040067,133.71500046643365,"[0,20]",19
16.96160267111853,132.21087599533584,"[0,20]",19
18.397328881469114,131.82511504247896,"[0,20]",19
19.732888146911517,135.97104467766133,"[0,20]",19
21.035058430717864,147.806061935699,"(20,40]",19
22.537562604340568,147.91688932200586,"(20,40]",19
23.906510851419032,140.4306261869066,"(20,40]",19
25.342237061769616,141.5183417624524,"(20,40]",19
26.7779632721202,142.58445280693,"(20,40]",19
28.180300500834726,143.30086896551737,"(20,40]",19
29.582637729549248,146.48181815758792,"(20,40]",19
31.08514190317195,148.0584430451443,"(20,40]",19
32.454090150250416,138.11437204730979,"(20,40]",19
33.889816360601,133.9104303181745,"(20,40]",19
35.292153589315525,127.46600536398485,"(20,40]",19
36.72787979966611,128.32535465600552,"(20,40]",19
38.130217028380635,129.2641004830919,"(20,40]",19
39.56594323873122,131.0584367149761,"(20,40]",19
40.934891485809686,134.33371370981186,"(40,60]",19
42.37061769616027,139.75020726303555,"(40,60]",19
43.77295492487479,135.67489961685845,"(40,60]",19
45.17529215358932,131.48089185407323,"(40,60]",19
46.6110183639399,129.96930628019356,"(40,60]",19
47.97996661101836,129.29389225387314,"(40,60]",19
49.41569282136895,132.21024844244556,"(40,60]",19
50.784641068447414,134.09328912210572,"(40,60]",19
52.186978297161936,139.1938305847077,"(40,60]",19
53.62270450751252,140.54810081625877,"(40,60]",19
55.058430717863104,134.13049302015676,"(40,60]",19
56.46076794657763,131.9195912043979,"(40,60]",19
57.89649415692821,131.97717164750966,"(40,60]",19
59.298831385642735,134.01864254539421,"(40,60]",19
60.701168614357265,135.05156041979032,"(60,80]",19
62.10350584307179,135.32574912543737,"(60,80]",19
63.57262103505843,138.10443648175922,"(60,80]",19
65.1085141903172,134.85829381975708,"(60,80]",19
66.54424040066777,129.32989332000687,"(60,80]",19
68.01335559265442,125.64280613026874,"(60,80]",19
69.38230383973288,123.61121102781958,"(60,80]",19
70.81803005008348,122.41765410628042,"(60,80]",19
72.25375626043406,125.35486193569918,"(60,80]",19
73.68948247078464,124.72435102448806,"(60,80]",19
75.12520868113522,121.08116005330699,"(60,80]",19
76.5609348914858,120.5230832250545,"(60,80]",19
77.96327212020033,122.38557158087646,"(60,80]",19
79.39899833055091,123.20583924704326,"(60,80]",19
0.30050083472454087,21.336822540595314,"[0,20]",20
1.669449081803005,19.476294785940453,"[0,20]",20
2.7712854757929883,20.239892753623256,"[0,20]",20
4.507512520868113,20.285625420623084,"[0,20]",20
5.909849749582637,20.631105913709856,"[0,20]",20
7.345575959933222,19.892111777444672,"[0,20]",20
8.781302170283807,19.871250841246198,"[0,20]",20
10.21702838063439,19.46454456105291,"[0,20]",20
11.652754590984975,19.543942728635813,"[0,20]",20
13.155258764607678,18.742859037148108,"[0,20]",20
14.624373956594324,19.048556555055853,"[0,20]",20
16.126878130217026,19.074276228552453,"[0,20]",20
17.66277128547579,19.604838580709796,"[0,20]",20
19.131886477462437,19.228035648842326,"[0,20]",20
20.601001669449083,19.307332600366593,"(20,40]",20
22.103505843071787,19.643216824921012,"(20,40]",20
23.63939899833055,19.582637614526146,"(20,40]",20
25.141903171953256,19.856767949358744,"(20,40]",20
26.6110183639399,19.699431617524553,"(20,40]",20
28.113522537562602,19.452834582708647,"(20,40]",20
29.616026711185306,19.932439413626618,"(20,40]",20
31.08514190317195,19.646501782442172,"(20,40]",20
32.587646076794655,19.028603131767486,"(20,40]",20
34.09015025041736,18.787633383308393,"(20,40]",20
35.59265442404006,18.897470298184338,"(20,40]",20
37.06176961602671,18.74650258204234,"(20,40]",20
38.56427378964942,18.665423788106004,"(20,40]",20
40,19.283363784774277,"(20,40]",20
41.53589315525876,19.66353553223397,"(40,60]",20
43.038397328881466,20.62170311510917,"(40,60]",20
44.27378964941569,24.91950361485929,"(40,60]",20
46.37729549248748,28.751101649175446,"(40,60]",20
47.87979966611018,24.747879860070167,"(40,60]",20
49.28213689482471,23.749513943028553,"(40,60]",20
50.71786310517529,23.75886053639861,"(40,60]",20
52.186978297161936,24.175015259037437,"(40,60]",20
53.62270450751252,24.021255905380745,"(40,60]",20
55.058430717863104,21.84810741296019,"(40,60]",20
56.56093489148581,22.708645943695,"(40,60]",20
57.996661101836395,22.47394889222056,"(40,60]",20
59.46577629382304,22.900080593036883,"(40,60]",20
60.90150250417362,23.3531835748794,"(60,80]",20
62.37061769616027,23.38886186906565,"(60,80]",20
63.83973288814691,23.376314142928674,"(60,80]",20
65.30884808013356,23.705546626686772,"(60,80]",20
66.74457429048414,22.535748125937033,"(60,80]",20
68.38063439065108,23.772265767116636,"(60,80]",20
70.08347245409016,27.512361419290453,"(60,80]",20
71.61936560934892,24.678873363318562,"(60,80]",20
73.02170283806343,23.596680959520462,"(60,80]",20
73.95659432387312,23.506491887389753,"(60,80]",20
75.79298831385643,23.201126470098348,"(60,80]",20
77.16193656093489,21.628524104614407,"(60,80]",20
78.1636060100167,21.78005720473111,"(60,80]",20
80,22.69000568166131,"(60,80]",20
0.3672787979966611,100.33143376196799,"[0,20]",21
1.4691151919866443,101.46153969681858,"[0,20]",21
2.6377295492487476,103.51471317674516,"[0,20]",21
3.8397328881469113,102.5184080293189,"[0,20]",21
5.075125208681135,100.80157824421134,"[0,20]",21
6.277128547579299,106.90784147926068,"[0,20]",21
7.612687813021703,108.56152720306524,"[0,20]",21
8.914858096828047,103.35840659670176,"[0,20]",21
10.116861435726209,99.87858574046334,"[0,20]",21
11.285475792988313,100.75855715475599,"[0,20]",21
12.454090150250417,102.76130328169255,"[0,20]",21
13.856427378964941,99.77807469598564,"[0,20]",21
15.091819699499165,100.816621455939,"[0,20]",21
16.26043405676127,100.4525875062472,"[0,20]",21
17.29549248747913,102.11641879060468,"[0,20]",21
18.564273789649416,102.91061112776974,"[0,20]",21
19.76627712854758,102.73279690154953,"[0,20]",21
20.968280467445744,105.90052703648196,"(20,40]",21
22.303839732888147,106.0751571214395,"(20,40]",21
