 ,Area(linea_horizontal_1),Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Angle(linea_horizontal_1),Median(linea_horizontal_1),Length(linea_horizontal_1),Area(linea_vertical_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Angle(linea_vertical_1),Median(linea_vertical_1),Length(linea_vertical_1),Area(ovalo_1),Mean(ovalo_1),StdDev(ovalo_1),Median(ovalo_1),Area(linea_horizontal_2),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Angle(linea_horizontal_2),Median(linea_horizontal_2),Length(linea_horizontal_2),Area(linea_vertical_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Angle(linea_vertical_2),Median(linea_vertical_2),Length(linea_vertical_2),Area(ovalo_2),Mean(ovalo_2),StdDev(ovalo_2),Median(ovalo_2),Area(linea_horizontal_3),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Angle(linea_horizontal_3),Median(linea_horizontal_3),Length(linea_horizontal_3),Area(linea_vertical_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Angle(linea_vertical_3),Median(linea_vertical_3),Length(linea_vertical_3),Area(ovalo_3),Mean(ovalo_3),StdDev(ovalo_3),Median(ovalo_3),Area(linea_horizontal_4),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Angle(linea_horizontal_4),Median(linea_horizontal_4),Length(linea_horizontal_4),Area(linea_vertical_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Angle(linea_vertical_4),Median(linea_vertical_4),Length(linea_vertical_4),Area(ovalo_4),Mean(ovalo_4),StdDev(ovalo_4),Median(ovalo_4)
1,51,119.510,21.978,0,116,50,51,120.059,30.507,90,121,50,1976,121.116,36.943,127,51,98.784,17.789,0,94,50,51,101.922,25.317,90,102,50,1976,102.587,31.785,107,51,93.706,16.557,0,89,50,51,94.392,25.919,90,94,50,1976,97.260,30.775,102,51,96.784,15.925,0,93,50,51,103.059,26.031,90,103,50,1976,102.158,31.271,109
2,51,119.176,21.155,0,118,50,51,119.451,29.913,90,121,50,1976,120.435,36.860,125,51,100.333,18.888,0,96,50,51,102.490,25.615,90,103,50,1976,104.124,32.226,109,51,94.216,15.819,0,91,50,51,94.431,24.508,90,94,50,1976,97.219,30.317,102,51,95.196,15.579,0,91,50,51,100.706,26.481,90,102,50,1976,101.226,31.192,107
3,51,117.569,21.196,0,114,50,51,118.255,29.357,90,119,50,1976,119.482,36.501,125,51,102.216,19.826,0,98,50,51,103.863,26.107,90,105,50,1976,105.381,32.500,109,51,93.471,15.374,0,89,50,51,94.608,23.967,90,94,50,1976,97.375,30.292,102,51,94.961,15.808,0,91,50,51,99.314,25.611,90,100,50,1976,100.383,30.949,105
4,51,116.412,21.385,0,114,50,51,117.490,29.456,90,119,50,1976,118.777,36.307,123,51,103.373,19.372,0,100,50,51,104.510,26.390,90,105,50,1976,106.466,32.957,110,51,93.490,16.114,0,89,50,51,94.843,25.103,90,94,50,1976,97.761,30.805,102,51,94.510,15.267,0,91,50,51,98.725,25.708,90,100,50,1976,99.756,30.799,105
5,51,115.745,21.435,0,112,50,51,117.569,29.436,90,118,50,1976,118.186,36.204,123,51,103.196,18.459,0,102,50,51,105.922,27.173,90,107,50,1976,107.349,33.198,110,51,94.098,16.070,0,91,50,51,95.490,25.077,90,96,50,1976,97.965,30.482,102,51,93.373,15.386,0,89,50,51,97.647,25.379,90,98,50,1976,98.723,30.681,103
6,51,115.627,21.012,0,112,50,51,116.235,29.287,90,118,50,1976,117.635,35.957,121,51,104.216,18.752,0,102,50,51,107.176,26.609,90,109,50,1976,108.044,32.938,112,51,95.098,15.504,0,91,50,51,96.118,24.494,90,96,50,1976,98.424,30.248,102,51,93.549,15.691,0,91,50,51,96.706,25.460,90,96,50,1976,98.393,30.567,102
7,51,116.098,21.357,0,112,50,51,116.078,28.923,90,118,50,1976,117.056,35.858,121,51,104.569,18.995,0,102,50,51,107.529,26.261,90,110,50,1976,108.123,33.157,112,51,94.902,17.053,0,91,50,51,97.569,24.703,90,98,50,1976,99.580,30.789,103,51,93.529,15.544,0,89,50,51,96.980,24.648,90,98,50,1976,98.051,30.217,103
8,51,114.686,20.306,0,110,50,51,115.039,28.848,90,114,50,1976,116.212,35.699,121,51,105.549,19.629,0,102,50,51,107.725,26.458,90,109,50,1976,108.131,33.243,112,51,95.843,16.794,0,93,50,51,98.902,25.997,90,100,50,1976,101.111,31.417,105,51,92.765,15.167,0,89,50,51,95.824,25.432,90,96,50,1976,97.630,30.254,102
9,51,114.529,20.804,0,110,50,51,114.216,28.636,90,116,50,1976,115.839,35.704,119,51,104.843,19.828,0,102,50,51,107.882,27.054,90,110,50,1976,108.721,33.246,112,51,99.490,16.303,0,94,50,51,101.373,24.896,90,102,50,1976,103.101,31.477,107,51,92.118,15.193,0,87,50,51,95.784,24.920,90,94,50,1976,97.241,30.046,102
10,51,113.824,20.374,0,110,50,51,113.000,28.420,90,114,50,1976,114.957,35.383,119,51,105.510,19.783,0,102,50,51,108.353,26.141,90,109,50,1976,108.913,32.984,112,51,101.529,16.926,0,96,50,51,104.078,25.345,90,105,50,1976,105.590,32.266,110,51,92.157,15.248,0,89,50,51,95.941,24.415,90,96,50,1976,97.006,29.955,102
