 ,Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Min(linea_horizontal_1),Max(linea_horizontal_1),Angle(linea_horizontal_1),Length(linea_horizontal_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Min(linea_vertical_1),Max(linea_vertical_1),Angle(linea_vertical_1),Length(linea_vertical_1),Mean(ovalo_1),StdDev(ovalo_1),Min(ovalo_1),Max(ovalo_1),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Min(linea_horizontal_2),Max(linea_horizontal_2),Angle(linea_horizontal_2),Length(linea_horizontal_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Min(linea_vertical_2),Max(linea_vertical_2),Angle(linea_vertical_2),Length(linea_vertical_2),Mean(ovalo_2),StdDev(ovalo_2),Min(ovalo_2),Max(ovalo_2),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Min(linea_horizontal_3),Max(linea_horizontal_3),Angle(linea_horizontal_3),Length(linea_horizontal_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Min(linea_vertical_3),Max(linea_vertical_3),Angle(linea_vertical_3),Length(linea_vertical_3),Mean(ovalo_3),StdDev(ovalo_3),Min(ovalo_3),Max(ovalo_3),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Min(linea_horizontal_4),Max(linea_horizontal_4),Angle(linea_horizontal_4),Length(linea_horizontal_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Min(linea_vertical_4),Max(linea_vertical_4),Angle(linea_vertical_4),Length(linea_vertical_4),Mean(ovalo_4),StdDev(ovalo_4),Min(ovalo_4),Max(ovalo_4)
435,71.078,22.637,41,136,0,50,84.608,21.555,50,136,90,50,82.950,24.599,23,189,73.235,25.453,39,141,0,50,85.216,19.690,53,130,90,50,83.469,22.344,17,161,59.020,17.620,35,107,0,50,67.941,17.615,46,114,90,50,68.811,21.132,12,177,70.490,21.528,41,127,0,50,84.980,19.937,51,127,90,50,83.501,23.654,10,184
436,70.255,22.914,42,132,0,50,84.824,22.078,51,137,90,50,82.508,24.744,25,191,74.980,25.566,39,148,0,50,87.431,20.414,57,132,90,50,85.284,22.622,17,166,58.333,17.288,34,107,0,50,67.725,16.807,46,114,90,50,68.031,20.950,12,177,70.373,21.015,41,128,0,50,84.706,19.691,53,128,90,50,83.240,23.625,12,184
437,70.294,22.775,42,130,0,50,84.294,21.823,51,139,90,50,82.149,24.639,23,198,77.569,26.203,41,153,0,50,88.765,20.684,55,136,90,50,86.622,23.096,17,166,58.216,17.300,35,107,0,50,66.745,16.548,46,110,90,50,67.381,20.823,12,173,70.020,20.953,42,128,0,50,84.647,20.072,55,130,90,50,83.102,23.930,10,184
438,69.392,22.574,42,132,0,50,83.824,21.676,50,137,90,50,81.613,24.693,23,193,78.510,26.442,41,150,0,50,90.549,20.818,53,132,90,50,87.811,23.568,14,164,57.569,17.950,35,107,0,50,65.078,16.422,44,109,90,50,66.540,20.856,12,173,69.804,20.897,42,127,0,50,84.725,20.835,53,132,90,50,82.941,23.999,10,186
439,68.882,22.586,42,132,0,50,82.373,21.463,50,136,90,50,80.869,24.711,23,196,78.490,26.800,41,148,0,50,91.961,21.389,57,136,90,50,88.457,23.836,17,175,57.078,17.083,35,103,0,50,65.000,16.366,44,109,90,50,66.126,20.838,12,173,68.941,21.017,41,123,0,50,84.588,20.256,55,130,90,50,82.595,24.223,10,187
440,68.490,22.544,42,132,0,50,81.647,21.330,50,137,90,50,80.433,24.704,23,189,78.882,26.940,41,153,0,50,92.569,21.712,55,137,90,50,88.866,23.975,14,177,56.647,16.720,35,100,0,50,64.216,16.499,44,109,90,50,65.496,20.703,14,173,68.353,20.783,39,123,0,50,83.765,20.072,55,128,90,50,82.347,24.259,10,189
441,67.863,21.714,42,127,0,50,81.000,21.794,51,137,90,50,79.656,24.668,23,193,78.529,26.051,41,150,0,50,91.980,21.080,55,136,90,50,88.696,23.774,16,175,56.275,16.605,35,98,0,50,63.706,16.193,44,103,90,50,64.847,20.592,14,175,68.059,20.317,39,123,0,50,83.588,20.565,53,130,90,50,81.697,24.148,10,189
442,67.510,21.688,42,128,0,50,79.961,21.416,50,136,90,50,79.309,24.619,23,191,78.451,26.098,41,148,0,50,92.627,21.547,59,141,90,50,88.603,23.968,17,177,55.882,16.272,34,98,0,50,63.255,16.490,44,105,90,50,64.416,20.667,12,177,67.686,20.196,41,119,0,50,82.961,20.334,53,132,90,50,81.508,24.214,12,191
443,67.176,21.781,41,127,0,50,79.373,20.931,50,134,90,50,78.685,24.593,23,195,78.294,25.983,41,150,0,50,91.863,21.051,57,136,90,50,88.429,24.133,19,175,55.392,15.596,34,96,0,50,63.412,16.050,44,105,90,50,64.043,20.529,10,175,67.529,19.673,41,116,0,50,82.412,20.429,53,132,90,50,81.157,24.192,12,189
444,66.255,21.347,41,128,0,50,78.451,21.668,48,139,90,50,77.887,24.532,23,196,77.490,25.862,44,150,0,50,91.490,21.202,57,141,90,50,88.177,24.045,17,175,55.255,15.303,32,91,0,50,62.255,15.771,44,103,90,50,63.604,20.395,10,171,66.863,19.544,41,116,0,50,81.922,20.785,51,134,90,50,80.602,24.176,12,189
445,64.902,21.236,39,125,0,50,78.020,21.752,48,139,90,50,77.133,24.547,23,196,77.118,25.470,42,148,0,50,90.922,21.256,57,141,90,50,87.820,24.241,17,180,55.196,15.487,32,91,0,50,61.784,15.655,44,102,90,50,63.236,20.205,10,173,66.157,19.644,41,118,0,50,81.549,20.259,51,134,90,50,80.070,24.153,12,191
446,65.078,21.224,39,127,0,50,77.137,21.948,46,139,90,50,76.570,24.619,23,196,76.275,25.198,42,145,0,50,91.235,21.640,55,141,90,50,87.638,24.328,17,179,54.745,15.738,32,91,0,50,61.725,15.509,44,102,90,50,63.003,20.055,10,175,66.255,19.103,41,118,0,50,81.000,20.583,51,134,90,50,79.557,24.224,12,191
447,64.412,20.363,41,123,0,50,76.922,21.936,46,139,90,50,76.152,24.694,21,195,76.294,24.857,44,146,0,50,90.627,21.330,53,139,90,50,87.317,24.312,19,180,54.078,15.122,34,87,0,50,61.490,15.565,44,102,90,50,62.552,19.711,12,171,66.020,19.615,41,119,0,50,80.314,20.485,51,134,90,50,79.092,24.200,10,193
448,63.922,21.292,39,128,0,50,75.471,21.846,46,139,90,50,75.470,24.804,21,195,75.333,24.527,41,141,0,50,90.078,21.251,53,139,90,50,86.870,24.401,19,184,54.314,14.844,34,87,0,50,60.941,15.648,44,102,90,50,62.337,19.256,12,168,65.118,19.315,39,114,0,50,79.824,21.287,48,134,90,50,78.616,24.219,10,191
