 ,Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Min(linea_horizontal_1),Max(linea_horizontal_1),Angle(linea_horizontal_1),Length(linea_horizontal_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Min(linea_vertical_1),Max(linea_vertical_1),Angle(linea_vertical_1),Length(linea_vertical_1),Mean(ovalo_1),StdDev(ovalo_1),Min(ovalo_1),Max(ovalo_1),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Min(linea_horizontal_2),Max(linea_horizontal_2),Angle(linea_horizontal_2),Length(linea_horizontal_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Min(linea_vertical_2),Max(linea_vertical_2),Angle(linea_vertical_2),Length(linea_vertical_2),Mean(ovalo_2),StdDev(ovalo_2),Min(ovalo_2),Max(ovalo_2),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Min(linea_horizontal_3),Max(linea_horizontal_3),Angle(linea_horizontal_3),Length(linea_horizontal_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Min(linea_vertical_3),Max(linea_vertical_3),Angle(linea_vertical_3),Length(linea_vertical_3),Mean(ovalo_3),StdDev(ovalo_3),Min(ovalo_3),Max(ovalo_3),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Min(linea_horizontal_4),Max(linea_horizontal_4),Angle(linea_horizontal_4),Length(linea_horizontal_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Min(linea_vertical_4),Max(linea_vertical_4),Angle(linea_vertical_4),Length(linea_vertical_4),Mean(ovalo_4),StdDev(ovalo_4),Min(ovalo_4),Max(ovalo_4)
481,65.706,8.764,25,71,0,50,68.059,2.929,60,75,90,50,65.309,8.098,17,76,58.667,8.581,19,64,0,50,61.000,3.583,53,68,90,50,58.837,7.383,14,68,60.784,8.603,21,66,0,50,63.588,4.596,55,71,90,50,61.406,8.758,14,73,57.980,7.893,21,64,0,50,59.882,6.380,46,68,90,50,58.537,8.668,12,69
482,65.314,8.774,25,71,0,50,67.588,4.614,57,76,90,50,65.020,8.235,17,76,58.706,8.142,21,64,0,50,60.745,3.440,53,66,90,50,58.752,7.357,14,69,60.078,8.246,21,66,0,50,63.333,5.771,53,75,90,50,60.513,8.695,14,75,57.451,7.452,21,64,0,50,59.961,6.879,48,71,90,50,57.955,8.721,12,71
483,64.157,8.536,25,68,0,50,66.235,4.292,57,75,90,50,64.085,8.056,17,75,58.549,7.463,23,62,0,50,61.020,3.178,55,66,90,50,58.708,7.232,14,69,58.706,7.754,21,62,0,50,61.902,5.235,53,73,90,50,59.636,8.424,14,73,56.725,7.422,21,62,0,50,60.000,6.570,46,69,90,50,58.174,8.608,12,73
484,62.490,8.698,21,66,0,50,64.490,5.282,55,73,90,50,62.218,8.262,16,75,58.843,7.495,23,64,0,50,61.118,3.229,53,68,90,50,59.137,7.385,14,71,58.510,8.100,21,64,0,50,61.647,5.094,53,71,90,50,59.184,8.677,14,73,56.451,7.890,19,62,0,50,58.647,8.017,42,69,90,50,57.024,9.127,12,69
485,62.235,8.534,23,66,0,50,62.902,4.011,55,71,90,50,60.966,7.888,14,73,58.235,7.750,21,64,0,50,60.490,3.196,55,66,90,50,58.173,7.293,14,69,56.745,8.079,21,64,0,50,60.863,5.933,51,73,90,50,58.107,8.745,12,73,57.235,8.039,21,64,0,50,59.137,7.222,42,69,90,50,57.520,8.911,12,73
486,60.647,7.657,23,64,0,50,62.882,4.528,55,73,90,50,60.665,7.948,14,73,57.275,8.092,19,62,0,50,59.275,3.550,53,66,90,50,57.757,7.231,14,68,55.824,7.771,21,64,0,50,59.392,4.526,51,68,90,50,57.168,8.291,12,69,55.392,7.497,21,64,0,50,57.667,7.188,46,69,90,50,56.544,8.739,12,73
487,58.922,7.528,21,64,0,50,60.588,4.364,53,68,90,50,58.663,7.396,14,71,58.020,7.301,23,62,0,50,60.275,3.544,55,66,90,50,58.309,7.254,14,68,54.137,7.048,21,60,0,50,58.118,5.928,46,68,90,50,55.775,8.067,12,68,56.569,7.551,21,64,0,50,58.020,7.193,42,69,90,50,56.395,8.706,12,73
488,59.216,7.640,21,64,0,50,61.686,3.184,57,68,90,50,59.471,7.326,14,71,58.333,7.356,23,62,0,50,59.765,3.988,53,66,90,50,58.129,7.365,14,68,55.627,7.874,21,60,0,50,58.098,5.123,46,66,90,50,56.000,8.105,12,68,55.608,7.642,19,62,0,50,57.098,6.718,44,69,90,50,55.892,8.784,12,73
489,58.961,7.710,23,64,0,50,60.667,3.943,53,68,90,50,58.762,7.449,14,73,57.392,7.214,23,62,0,50,60.235,3.669,55,66,90,50,57.922,7.383,14,68,54.078,8.104,19,59,0,50,57.647,5.110,48,66,90,50,55.377,8.291,12,69,55.608,7.785,19,60,0,50,57.569,6.625,46,68,90,50,55.883,8.619,12,69
490,59.569,8.290,21,64,0,50,61.235,4.227,53,69,90,50,58.987,7.673,14,73,57.569,7.705,21,62,0,50,59.882,4.150,53,68,90,50,57.704,7.355,14,71,52.569,7.551,19,57,0,50,56.059,5.267,46,64,90,50,54.109,8.144,10,68,56.137,7.777,21,60,0,50,57.745,7.269,46,69,90,50,56.201,9.040,12,69
