 ,Area(linea_horizontal_1),Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Angle(linea_horizontal_1),Median(linea_horizontal_1),Length(linea_horizontal_1),Area(linea_vertical_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Angle(linea_vertical_1),Median(linea_vertical_1),Length(linea_vertical_1),Area(ovalo_1),Mean(ovalo_1),StdDev(ovalo_1),Median(ovalo_1),Area(linea_horizontal_2),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Angle(linea_horizontal_2),Median(linea_horizontal_2),Length(linea_horizontal_2),Area(linea_vertical_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Angle(linea_vertical_2),Median(linea_vertical_2),Length(linea_vertical_2),Area(ovalo_2),Mean(ovalo_2),StdDev(ovalo_2),Median(ovalo_2),Area(linea_horizontal_3),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Angle(linea_horizontal_3),Median(linea_horizontal_3),Length(linea_horizontal_3),Area(linea_vertical_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Angle(linea_vertical_3),Median(linea_vertical_3),Length(linea_vertical_3),Area(ovalo_3),Mean(ovalo_3),StdDev(ovalo_3),Median(ovalo_3),Area(linea_horizontal_4),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Angle(linea_horizontal_4),Median(linea_horizontal_4),Length(linea_horizontal_4),Area(linea_vertical_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Angle(linea_vertical_4),Median(linea_vertical_4),Length(linea_vertical_4),Area(ovalo_4),Mean(ovalo_4),StdDev(ovalo_4),Median(ovalo_4)
1,51,116.059,22.185,0,114,50,51,109.471,59.919,90,130,50,1976,111.720,53.190,118,51,118.157,25.422,0,114,50,51,109.706,56.587,90,143,50,1976,112.713,52.640,118,51,107.451,21.032,0,105,50,51,99.745,54.533,90,121,50,1976,102.612,47.562,109,51,109.941,24.736,0,107,50,51,103.373,52.737,90,134,50,1976,104.421,47.528,109
2,51,116.039,22.390,0,116,50,51,108.647,59.429,90,130,50,1976,111.541,52.612,118,51,117.118,24.507,0,114,50,51,109.784,57.013,90,137,50,1976,112.624,52.636,118,51,107.196,20.848,0,103,50,51,99.000,54.739,90,121,50,1976,102.602,48.037,107,51,109.353,24.310,0,107,50,51,102.843,52.638,90,134,50,1976,104.178,47.381,109
3,51,115.510,21.653,0,114,50,51,108.118,58.984,90,130,50,1976,111.033,52.244,118,51,116.922,24.659,0,116,50,51,109.902,57.275,90,137,50,1976,112.415,52.491,118,51,106.647,21.450,0,109,50,51,98.706,54.450,90,119,50,1976,102.151,48.059,107,51,109.882,24.050,0,107,50,51,102.765,52.575,90,128,50,1976,104.173,47.405,109
4,51,114.706,21.520,0,112,50,51,107.353,58.915,90,132,50,1976,110.314,52.216,116,51,116.745,24.123,0,118,50,51,109.529,56.876,90,136,50,1976,112.037,52.296,118,51,106.647,21.045,0,110,50,51,98.216,54.941,90,123,50,1976,101.849,47.916,107,51,109.000,23.485,0,105,50,51,102.255,52.608,90,127,50,1976,103.816,47.352,107
5,51,113.667,21.440,0,112,50,51,105.608,58.614,90,128,50,1976,108.994,51.661,114,51,115.863,23.970,0,114,50,51,109.255,57.020,90,137,50,1976,111.734,52.028,118,51,109.078,21.664,0,107,50,51,99.980,55.034,90,127,50,1976,103.213,48.564,109,51,108.824,23.900,0,107,50,51,102.333,52.229,90,130,50,1976,103.711,47.322,107
6,51,112.804,21.451,0,110,50,51,105.314,58.184,90,127,50,1976,108.385,51.158,114,51,115.745,24.032,0,114,50,51,108.784,57.459,90,132,50,1976,111.426,52.068,118,51,112.529,23.709,0,110,50,51,102.647,54.928,90,132,50,1976,106.785,49.914,112,51,108.549,23.385,0,107,50,51,101.824,52.175,90,130,50,1976,103.290,46.992,107
7,51,112.549,21.308,0,110,50,51,105.451,57.815,90,127,50,1976,108.081,51.150,112,51,115.059,23.829,0,114,50,51,108.490,56.629,90,132,50,1976,111.214,51.749,118,51,116.333,26.034,0,110,50,51,106.255,55.615,90,137,50,1976,110.084,51.196,116,51,108.216,23.079,0,105,50,51,101.627,52.669,90,128,50,1976,102.919,46.999,105
8,51,111.569,20.687,0,110,50,51,103.549,57.396,90,123,50,1976,106.879,50.761,112,51,114.922,23.652,0,112,50,51,108.373,56.881,90,132,50,1976,111.068,51.680,116,51,119.392,26.906,0,116,50,51,110.118,56.313,90,143,50,1976,113.182,52.546,119,51,107.059,22.815,0,103,50,51,101.647,52.690,90,128,50,1976,102.447,46.588,105
9,51,110.255,19.951,0,109,50,51,103.098,57.292,90,121,50,1976,106.101,50.471,112,51,114.784,22.938,0,112,50,51,108.176,56.759,90,132,50,1976,110.850,51.660,116,51,121.667,27.370,0,118,50,51,112.314,56.873,90,145,50,1976,115.172,53.332,121,51,106.627,22.773,0,103,50,51,101.216,52.415,90,127,50,1976,102.091,46.463,105
10,51,110.647,20.425,0,110,50,51,103.294,57.286,90,125,50,1976,105.955,50.072,112,51,114.000,22.905,0,112,50,51,107.980,56.716,90,132,50,1976,110.322,51.438,116,51,123.078,28.264,0,119,50,51,113.627,57.049,90,146,50,1976,116.633,53.907,123,51,106.216,22.325,0,105,50,51,100.529,52.425,90,125,50,1976,101.666,46.223,105
11,51,109.961,20.352,0,109,50,51,102.255,57.044,90,125,50,1976,105.090,49.772,110,51,113.804,23.113,0,112,50,51,107.451,56.494,90,132,50,1976,110.238,51.403,114,51,124.118,28.989,0,119,50,51,114.686,57.739,90,146,50,1976,117.591,54.500,125,51,106.078,22.256,0,103,50,51,100.255,52.443,90,125,50,1976,101.345,46.195,105
12,51,108.647,19.469,0,107,50,51,101.137,56.835,90,125,50,1976,104.428,49.623,109,51,113.314,22.321,0,112,50,51,107.765,56.433,90,130,50,1976,109.847,51.031,114,51,124.549,28.931,0,119,50,51,116.000,57.842,90,150,50,1976,118.306,54.584,125,51,105.490,22.471,0,100,50,51,100.392,52.887,90,123,50,1976,100.973,45.888,105
13,51,108.373,19.543,0,109,50,51,100.490,56.550,90,125,50,1976,103.872,49.306,110,51,112.745,22.381,0,112,50,51,107.451,56.790,90,132,50,1976,109.556,51.055,114,51,125.353,28.746,0,121,50,51,116.569,58.050,90,152,50,1976,118.674,54.686,125,51,104.608,21.627,0,100,50,51,99.882,52.754,90,121,50,1976,100.088,45.483,103
