 ,Area(linea_horizontal_1),Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Angle(linea_horizontal_1),Median(linea_horizontal_1),Length(linea_horizontal_1),Area(linea_vertical_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Angle(linea_vertical_1),Median(linea_vertical_1),Length(linea_vertical_1),Area(ovalo_1),Mean(ovalo_1),StdDev(ovalo_1),Median(ovalo_1),Area(linea_horizontal_2),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Angle(linea_horizontal_2),Median(linea_horizontal_2),Length(linea_horizontal_2),Area(linea_vertical_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Angle(linea_vertical_2),Median(linea_vertical_2),Length(linea_vertical_2),Area(ovalo_2),Mean(ovalo_2),StdDev(ovalo_2),Median(ovalo_2),Area(linea_horizontal_3),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Angle(linea_horizontal_3),Median(linea_horizontal_3),Length(linea_horizontal_3),Area(linea_vertical_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Angle(linea_vertical_3),Median(linea_vertical_3),Length(linea_vertical_3),Area(ovalo_3),Mean(ovalo_3),StdDev(ovalo_3),Median(ovalo_3),Area(linea_horizontal_4),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Angle(linea_horizontal_4),Median(linea_horizontal_4),Length(linea_horizontal_4),Area(linea_vertical_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Angle(linea_vertical_4),Median(linea_vertical_4),Length(linea_vertical_4),Area(ovalo_4),Mean(ovalo_4),StdDev(ovalo_4),Median(ovalo_4)
1,41,142.244,12.737,0,146,40,51,166.392,32.749,90,173,50,1572,157.499,33.995,159,45,149.400,17.427,0,152,44,51,176.784,38.835,90,180,50,1740,168.013,41.927,168,47,119.447,18.153,0,119,46,51,136.353,23.366,90,137,50,1804,131.608,27.126,134,47,106.596,21.271,0,105,46,51,124.922,23.049,90,121,50,1804,119.051,27.001,121
2,41,143.976,13.464,0,146,40,51,170.510,34.163,90,175,50,1572,161.052,35.671,162,45,148.756,17.434,0,150,44,51,175.882,38.143,90,179,50,1740,166.867,41.138,168,47,118.596,18.335,0,118,46,51,133.745,23.246,90,134,50,1804,129.734,27.083,132,47,112.234,22.218,0,116,46,51,140.020,25.678,90,141,50,1804,127.808,30.556,130
3,41,146.659,13.302,0,148,40,51,171.549,34.612,90,179,50,1572,162.456,36.044,164,45,146.156,16.989,0,148,44,51,174.196,37.000,90,179,50,1740,164.896,40.123,166,47,116.255,18.275,0,116,46,51,132.216,23.079,90,134,50,1804,128.005,27.013,130,47,119.766,24.981,0,128,46,51,152.196,27.179,90,153,50,1804,139.156,36.123,143
4,41,149.268,13.932,0,150,40,51,170.216,33.699,90,175,50,1572,163.032,36.199,164,45,145.244,16.716,0,148,44,51,172.255,36.242,90,177,50,1740,163.278,39.289,166,47,114.809,18.365,0,114,46,51,130.451,23.362,90,134,50,1804,126.297,27.078,128,47,127.255,29.681,0,134,46,51,162.451,29.819,90,166,50,1804,148.148,40.864,153
5,41,146.927,14.171,0,148,40,51,172.451,34.566,90,179,50,1572,163.100,36.173,166,45,144.133,18.113,0,146,44,51,170.922,35.528,90,177,50,1740,161.925,38.810,164,47,113.021,19.200,0,110,46,51,129.353,22.990,90,128,50,1804,124.879,27.322,127,47,130.745,32.032,0,139,46,51,166.392,31.675,90,168,50,1804,151.840,43.199,157
6,41,145.171,14.439,0,145,40,51,171.059,34.702,90,177,50,1572,161.144,35.978,162,45,143.400,17.692,0,145,44,51,170.000,34.654,90,175,50,1740,160.763,37.957,164,47,111.298,19.650,0,109,46,51,128.882,23.234,90,128,50,1804,124.095,27.692,125,47,132.191,33.140,0,143,46,51,167.941,31.479,90,170,50,1804,152.906,43.927,157
7,41,145.829,14.406,0,146,40,51,169.275,34.393,90,175,50,1572,159.436,35.296,161,45,142.778,17.175,0,145,44,51,168.098,33.705,90,173,50,1740,159.441,36.980,162,47,110.255,19.769,0,109,46,51,128.549,23.092,90,127,50,1804,123.648,28.429,123,47,131.957,33.826,0,141,46,51,168.882,32.382,90,170,50,1804,152.676,44.740,157
8,41,142.951,14.361,0,145,40,51,168.333,33.458,90,173,50,1572,157.998,34.585,159,45,140.733,16.707,0,143,44,51,166.843,32.437,90,173,50,1740,157.932,36.028,161,47,109.702,20.134,0,107,46,51,128.922,23.904,90,128,50,1804,123.780,29.634,123,47,130.851,34.105,0,139,46,51,168.510,31.837,90,168,50,1804,152.269,44.986,157
9,41,138.707,14.391,0,141,40,51,165.627,32.310,90,170,50,1572,155.230,33.735,155,45,139.644,15.970,0,143,44,51,165.137,31.704,90,171,50,1740,156.298,35.174,159,47,109.553,20.781,0,107,46,51,130.275,24.643,90,132,50,1804,124.448,30.593,125,47,130.043,34.273,0,139,46,51,167.431,31.971,90,168,50,1804,150.312,44.457,155
10,41,137.146,14.434,0,139,40,51,163.196,31.673,90,164,50,1572,152.948,32.820,153,45,138.622,16.267,0,141,44,51,164.059,30.645,90,170,50,1740,154.789,34.333,159,47,109.894,22.477,0,107,46,51,130.412,25.410,90,130,50,1804,124.789,31.634,125,47,127.489,33.737,0,137,46,51,165.216,31.574,90,166,50,1804,148.076,44.032,153
