 ,Area(linea_horizontal_1),Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Angle(linea_horizontal_1),Median(linea_horizontal_1),Length(linea_horizontal_1),Area(linea_vertical_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Angle(linea_vertical_1),Median(linea_vertical_1),Length(linea_vertical_1),Area(ovalo_1),Mean(ovalo_1),StdDev(ovalo_1),Median(ovalo_1),Area(linea_horizontal_2),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Angle(linea_horizontal_2),Median(linea_horizontal_2),Length(linea_horizontal_2),Area(linea_vertical_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Angle(linea_vertical_2),Median(linea_vertical_2),Length(linea_vertical_2),Area(ovalo_2),Mean(ovalo_2),StdDev(ovalo_2),Median(ovalo_2),Area(linea_horizontal_3),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Angle(linea_horizontal_3),Median(linea_horizontal_3),Length(linea_horizontal_3),Area(linea_vertical_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Angle(linea_vertical_3),Median(linea_vertical_3),Length(linea_vertical_3),Area(ovalo_3),Mean(ovalo_3),StdDev(ovalo_3),Median(ovalo_3),Area(linea_horizontal_4),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Angle(linea_horizontal_4),Median(linea_horizontal_4),Length(linea_horizontal_4),Area(linea_vertical_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Angle(linea_vertical_4),Median(linea_vertical_4),Length(linea_vertical_4),Area(ovalo_4),Mean(ovalo_4),StdDev(ovalo_4),Median(ovalo_4)
1,51,89.647,30.965,0,96,50,51,83.882,14.801,90,87,50,1976,81.568,28.577,80,51,78.294,27.634,0,82,50,51,72.922,14.070,90,78,50,1976,72.225,26.651,73,51,61.137,21.438,0,69,50,51,57.686,12.648,90,60,50,1976,56.570,20.533,59,51,53.686,19.107,0,57,50,51,50.647,10.682,90,57,50,1976,51.092,18.134,51
2,51,94.294,32.830,0,102,50,51,88.333,15.287,90,93,50,1976,85.660,30.531,85,51,77.157,27.095,0,82,50,51,71.941,13.835,90,78,50,1976,70.791,26.186,73,51,59.353,20.010,0,68,50,51,55.569,12.100,90,59,50,1976,54.815,19.778,55,51,56.588,19.421,0,60,50,51,54.176,11.370,90,59,50,1976,53.442,19.005,55
3,51,95.216,33.772,0,105,50,51,90.235,15.132,90,94,50,1976,87.181,31.184,85,51,75.490,27.184,0,82,50,51,71.412,13.940,90,78,50,1976,69.676,26.113,71,51,57.490,19.752,0,64,50,51,54.059,11.434,90,59,50,1976,53.537,19.288,55,51,62.294,22.315,0,66,50,51,61.765,11.981,90,66,50,1976,59.344,21.349,62
4,51,97.431,34.352,0,103,50,51,92.804,14.765,90,94,50,1976,88.641,31.460,87,51,75.235,27.016,0,82,50,51,70.882,13.705,90,76,50,1976,68.076,25.429,69,51,55.902,19.172,0,62,50,51,52.961,10.703,90,59,50,1976,52.359,18.486,51,51,71.961,25.835,0,73,50,51,68.627,11.773,90,73,50,1976,67.710,24.383,71
5,51,98.118,34.787,0,105,50,51,92.588,16.148,90,98,50,1976,88.665,31.632,87,51,72.137,25.966,0,80,50,51,69.235,13.527,90,73,50,1976,66.960,24.846,68,51,54.882,19.520,0,59,50,51,52.039,10.284,90,57,50,1976,51.909,18.605,51,51,78.039,29.096,0,78,50,51,71.529,12.133,90,76,50,1976,72.203,26.989,75
6,51,96.706,34.917,0,109,50,51,91.392,15.247,90,94,50,1976,88.250,31.629,87,51,70.176,25.469,0,80,50,51,67.431,13.739,90,73,50,1976,65.619,24.537,66,51,54.706,19.208,0,60,50,51,51.529,10.477,90,57,50,1976,51.457,18.474,51,51,82.059,32.063,0,84,50,51,74.510,12.375,90,80,50,1976,74.850,28.112,76
7,51,94.451,34.742,0,100,50,51,89.059,15.068,90,93,50,1976,86.457,31.075,85,51,67.647,24.336,0,73,50,51,65.137,13.403,90,71,50,1976,63.522,23.768,64,51,54.490,18.958,0,59,50,51,51.333,10.113,90,55,50,1976,51.330,18.361,51,51,84.490,33.175,0,87,50,51,76.412,12.764,90,80,50,1976,76.477,28.877,78
8,51,90.922,32.734,0,94,50,51,85.333,13.823,90,89,50,1976,83.521,30.116,82,51,66.961,23.438,0,73,50,51,64.275,12.822,90,69,50,1976,62.477,23.193,64,51,54.216,19.212,0,57,50,51,51.275,10.106,90,55,50,1976,51.276,18.456,51,51,84.922,33.011,0,87,50,51,77.098,12.412,90,80,50,1976,76.719,28.621,78
9,51,88.804,32.067,0,93,50,51,83.078,13.400,90,85,50,1976,81.343,29.106,80,51,64.784,22.882,0,69,50,51,62.196,12.745,90,66,50,1976,60.282,22.641,62,51,53.549,19.570,0,55,50,51,50.882,10.277,90,55,50,1976,50.713,18.457,50,51,84.784,33.567,0,87,50,51,77.431,12.510,90,82,50,1976,77.041,29.121,78
10,51,86.686,30.700,0,93,50,51,82.667,13.067,90,87,50,1976,80.160,28.324,80,51,63.314,21.768,0,66,50,51,59.765,12.548,90,66,50,1976,58.876,22.116,59,51,55.294,18.952,0,62,50,51,52.216,10.150,90,57,50,1976,51.828,18.708,51,51,85.039,32.841,0,87,50,51,78.020,12.428,90,82,50,1976,77.271,28.697,78
11,51,85.098,29.580,0,87,50,51,79.608,12.900,90,84,50,1976,78.558,27.900,78,51,61.137,21.729,0,66,50,51,59.235,12.436,90,64,50,1976,57.413,21.402,59,51,60.784,22.328,0,66,50,51,57.275,11.486,90,62,50,1976,56.467,20.757,57,51,85.176,33.802,0,87,50,51,76.980,12.818,90,82,50,1976,77.352,29.282,78
12,51,83.961,29.062,0,85,50,51,79.392,12.185,90,82,50,1976,78.113,27.219,76,51,59.569,21.009,0,66,50,51,56.824,12.609,90,60,50,1976,55.507,20.927,57,51,68.569,25.699,0,73,50,51,65.000,12.496,90,69,50,1976,63.676,24.050,66,51,82.706,32.603,0,82,50,51,76.353,12.208,90,82,50,1976,75.877,28.406,76
13,51,82.980,28.136,0,85,50,51,77.745,11.981,90,78,50,1976,76.632,26.865,76,51,57.824,20.245,0,66,50,51,56.196,12.827,90,60,50,1976,54.421,20.274,55,51,75.980,28.773,0,80,50,51,69.431,14.066,90,73,50,1976,69.066,25.762,71,51,80.745,31.257,0,82,50,51,74.412,12.202,90,80,50,1976,74.511,27.687,75
