 ,Area(linea_horizontal_1),Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Angle(linea_horizontal_1),Median(linea_horizontal_1),Length(linea_horizontal_1),Area(linea_vertical_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Angle(linea_vertical_1),Median(linea_vertical_1),Length(linea_vertical_1),Area(ovalo_1),Mean(ovalo_1),StdDev(ovalo_1),Median(ovalo_1),Area(linea_horizontal_2),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Angle(linea_horizontal_2),Median(linea_horizontal_2),Length(linea_horizontal_2),Area(linea_vertical_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Angle(linea_vertical_2),Median(linea_vertical_2),Length(linea_vertical_2),Area(ovalo_2),Mean(ovalo_2),StdDev(ovalo_2),Median(ovalo_2),Area(linea_horizontal_3),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Angle(linea_horizontal_3),Median(linea_horizontal_3),Length(linea_horizontal_3),Area(linea_vertical_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Angle(linea_vertical_3),Median(linea_vertical_3),Length(linea_vertical_3),Area(ovalo_3),Mean(ovalo_3),StdDev(ovalo_3),Median(ovalo_3),Area(linea_horizontal_4),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Angle(linea_horizontal_4),Median(linea_horizontal_4),Length(linea_horizontal_4),Area(linea_vertical_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Angle(linea_vertical_4),Median(linea_vertical_4),Length(linea_vertical_4),Area(ovalo_4),Mean(ovalo_4),StdDev(ovalo_4),Median(ovalo_4)
1,51,74.176,38.373,0,68,50,51,71.529,19.960,90,68,50,1976,73.423,32.667,76,51,61.706,30.459,0,55,50,51,62.529,21.964,90,55,50,1976,64.940,28.132,68,51,60.647,30.090,0,55,50,51,62.392,20.749,90,53,50,1976,63.807,27.401,66,51,51.804,23.204,0,44,50,51,52.471,16.063,90,44,50,1976,53.862,21.039,57
2,51,73.902,38.412,0,68,50,51,71.412,19.945,90,68,50,1976,72.991,32.553,75,51,61.647,29.938,0,55,50,51,63.000,21.719,90,55,50,1976,64.826,27.985,68,51,60.588,29.876,0,53,50,51,62.020,20.891,90,53,50,1976,63.709,27.250,66,51,51.471,23.583,0,44,50,51,52.314,15.659,90,44,50,1976,53.607,20.998,55
3,51,72.569,37.803,0,66,50,51,71.137,19.747,90,66,50,1976,72.387,32.245,75,51,61.196,30.353,0,53,50,51,62.745,21.551,90,55,50,1976,64.868,27.792,68,51,60.235,30.086,0,53,50,51,61.765,20.451,90,53,50,1976,63.454,27.249,66,51,51.333,23.731,0,44,50,51,52.157,15.275,90,44,50,1976,53.769,20.922,57
4,51,72.569,37.277,0,68,50,51,70.980,20.030,90,66,50,1976,72.169,31.977,75,51,60.686,30.223,0,55,50,51,62.216,21.872,90,53,50,1976,64.017,27.671,66,51,59.902,29.844,0,53,50,51,61.765,20.543,90,53,50,1976,63.411,27.174,66,51,52.431,23.799,0,48,50,51,53.569,15.014,90,46,50,1976,54.407,21.131,57
5,51,72.059,37.702,0,68,50,51,70.078,19.987,90,66,50,1976,71.529,31.558,73,51,60.333,29.996,0,55,50,51,62.294,21.451,90,53,50,1976,64.277,27.715,66,51,59.314,29.723,0,50,50,51,60.765,20.745,90,50,50,1976,62.847,26.988,66,51,54.725,25.326,0,48,50,51,54.196,14.557,90,48,50,1976,55.887,21.868,57
6,51,70.941,37.179,0,64,50,51,69.529,19.907,90,60,50,1976,71.161,31.395,73,51,60.843,30.643,0,55,50,51,62.294,21.447,90,53,50,1976,64.362,27.896,68,51,59.569,29.629,0,50,50,51,60.294,21.174,90,50,50,1976,62.633,26.992,64,51,57.078,28.264,0,50,50,51,55.627,15.116,90,50,50,1976,57.613,23.455,59
7,51,70.431,36.541,0,62,50,51,68.627,19.969,90,60,50,1976,70.450,30.993,73,51,62.451,31.782,0,57,50,51,62.824,20.984,90,55,50,1976,65.635,28.472,68,51,60.706,30.440,0,53,50,51,61.490,20.695,90,53,50,1976,63.714,27.425,68,51,57.706,27.453,0,51,50,51,56.216,13.993,90,50,50,1976,58.053,23.685,60
8,51,69.588,35.800,0,64,50,51,68.824,20.573,90,60,50,1976,69.814,30.699,71,51,66.569,34.952,0,59,50,51,64.843,21.549,90,59,50,1976,68.104,30.637,69,51,63.863,32.274,0,59,50,51,63.235,20.196,90,59,50,1976,65.747,29.003,69,51,57.549,27.566,0,51,50,51,56.235,14.335,90,50,50,1976,58.180,23.735,60
9,51,69.588,35.419,0,62,50,51,67.667,20.383,90,59,50,1976,69.516,30.428,71,51,67.490,35.791,0,57,50,51,65.804,21.656,90,57,50,1976,69.014,31.084,71,51,65.980,34.839,0,57,50,51,64.490,20.461,90,59,50,1976,67.243,30.070,69,51,57.451,27.335,0,51,50,51,56.137,14.516,90,50,50,1976,58.228,23.612,60
10,51,68.039,34.702,0,60,50,51,67.627,20.324,90,59,50,1976,68.949,30.114,71,51,68.196,35.916,0,59,50,51,66.353,21.411,90,57,50,1976,69.435,31.181,71,51,66.275,34.798,0,57,50,51,64.471,20.072,90,59,50,1976,67.703,30.213,69,51,57.196,27.822,0,50,50,51,56.118,14.862,90,50,50,1976,58.203,23.640,60
11,51,67.706,35.139,0,60,50,51,67.549,20.411,90,59,50,1976,68.632,29.981,71,51,68.039,36.229,0,57,50,51,66.314,21.617,90,57,50,1976,69.231,31.186,71,51,65.745,34.607,0,57,50,51,64.510,20.002,90,57,50,1976,67.759,30.228,69,51,57.412,27.257,0,51,50,51,56.275,14.296,90,51,50,1976,58.050,23.235,60
12,51,66.843,34.704,0,59,50,51,67.078,19.605,90,59,50,1976,68.356,29.678,71,51,68.039,36.093,0,59,50,51,66.451,21.601,90,59,50,1976,69.245,31.204,71,51,66.235,34.653,0,60,50,51,64.902,20.249,90,59,50,1976,67.998,30.339,71,51,57.333,27.082,0,50,50,51,55.980,14.103,90,50,50,1976,57.897,23.240,60
13,51,66.667,34.804,0,59,50,51,66.980,19.975,90,59,50,1976,68.157,29.911,71,51,68.275,36.116,0,59,50,51,67.118,21.096,90,59,50,1976,69.496,31.261,71,51,65.451,34.311,0,59,50,51,64.686,19.711,90,57,50,1976,67.683,30.227,69,51,57.490,27.261,0,50,50,51,56.392,14.128,90,50,50,1976,58.106,23.339,60
14,51,66.922,34.807,0,59,50,51,67.020,20.360,90,59,50,1976,68.039,29.791,71,51,67.451,35.394,0,59,50,51,65.863,21.247,90,59,50,1976,69.211,31.258,71,51,65.275,33.864,0,59,50,51,64.686,19.987,90,57,50,1976,67.788,30.080,69,51,57.647,27.526,0,50,50,51,55.961,13.994,90,50,50,1976,58.008,23.206,60
15,51,66.745,34.940,0,59,50,51,66.843,20.272,90,59,50,1976,67.654,29.735,69,51,67.412,35.901,0,59,50,51,66.216,21.461,90,59,50,1976,69.335,31.351,71,51,65.314,34.098,0,60,50,51,64.569,19.760,90,57,50,1976,67.736,30.156,69,51,57.725,27.459,0,50,50,51,56.098,14.294,90,50,50,1976,58.139,23.282,60
16,51,66.275,34.896,0,59,50,51,66.529,19.742,90,59,50,1976,67.729,29.642,69,51,68.059,35.561,0,59,50,51,66.039,21.432,90,59,50,1976,69.295,31.252,71,51,65.392,33.899,0,59,50,51,64.608,20.364,90,57,50,1976,67.320,29.979,69,51,57.980,27.715,0,51,50,51,56.255,14.225,90,51,50,1976,58.186,23.357,60
17,51,67.235,35.326,0,59,50,51,67.255,19.723,90,59,50,1976,68.363,29.905,71,51,68.216,35.781,0,59,50,51,65.863,21.572,90,59,50,1976,69.112,31.187,71,51,65.020,33.924,0,59,50,51,65.098,19.707,90,59,50,1976,67.593,29.984,69,51,58.235,27.400,0,50,50,51,56.255,14.218,90,50,50,1976,58.275,23.220,60
18,51,70.235,37.987,0,60,50,51,68.667,19.671,90,60,50,1976,70.604,31.776,73,51,67.686,35.242,0,59,50,51,66.392,21.115,90,59,50,1976,69.398,31.193,71,51,65.294,33.707,0,60,50,51,64.137,19.092,90,57,50,1976,67.218,29.792,69,51,58.647,28.208,0,50,50,51,56.235,14.604,90,50,50,1976,58.273,23.455,60
19,51,72.059,39.738,0,66,50,51,70.020,19.137,90,62,50,1976,72.190,32.922,73,51,67.275,34.905,0,59,50,51,66.373,21.122,90,59,50,1976,69.347,31.167,71,51,65.549,33.791,0,60,50,51,65.000,19.820,90,57,50,1976,67.478,29.828,69,51,58.157,27.563,0,50,50,51,56.098,14.374,90,50,50,1976,58.421,23.310,60
20,51,72.588,38.901,0,64,50,51,70.392,19.362,90,66,50,1976,72.462,32.981,75,51,67.804,35.275,0,59,50,51,66.824,21.882,90,59,50,1976,69.602,31.345,71,51,65.608,33.779,0,60,50,51,64.451,19.633,90,57,50,1976,67.527,29.938,69,51,58.196,27.832,0,50,50,51,56.176,14.675,90,50,50,1976,58.395,23.305,60
21,51,72.863,38.257,0,66,50,51,70.824,19.171,90,66,50,1976,72.692,32.904,76,51,67.824,35.069,0,60,50,51,66.549,21.895,90,59,50,1976,69.553,31.220,71,51,65.706,33.987,0,62,50,51,64.412,19.429,90,59,50,1976,67.502,29.842,69,51,58.569,28.140,0,50,50,51,56.000,15.094,90,50,50,1976,58.363,23.384,60
22,51,72.980,38.207,0,66,50,51,71.196,19.866,90,66,50,1976,72.817,33.065,76,51,67.922,34.986,0,59,50,51,66.294,21.686,90,59,50,1976,69.384,31.174,71,51,65.863,34.211,0,60,50,51,64.765,19.284,90,59,50,1976,67.684,29.817,69,51,57.902,27.725,0,50,50,51,55.824,14.450,90,50,50,1976,58.152,23.261,60
23,51,73.392,38.408,0,66,50,51,71.196,19.101,90,66,50,1976,73.016,33.053,76,51,68.020,35.408,0,59,50,51,67.039,21.511,90,59,50,1976,69.691,31.277,71,51,65.471,33.784,0,60,50,51,64.549,19.438,90,59,50,1976,67.405,29.688,69,51,58.098,27.981,0,51,50,51,55.863,14.627,90,50,50,1976,58.233,23.312,60
24,51,73.510,38.528,0,68,50,51,71.294,19.632,90,66,50,1976,73.213,33.318,76,51,68.000,35.445,0,59,50,51,66.843,21.584,90,59,50,1976,69.382,31.068,71,51,65.235,34.179,0,60,50,51,64.686,19.144,90,59,50,1976,67.240,29.700,69,51,58.275,27.683,0,51,50,51,56.176,14.890,90,50,50,1976,58.176,23.244,60
25,51,73.431,38.608,0,68,50,51,70.980,19.501,90,66,50,1976,72.905,33.251,76,51,67.627,35.076,0,57,50,51,66.549,21.899,90,57,50,1976,69.333,31.075,71,51,65.706,33.483,0,59,50,51,64.784,18.991,90,59,50,1976,67.449,29.624,69,51,58.020,27.617,0,51,50,51,56.176,14.697,90,50,50,1976,58.161,23.074,60
