 ,Area(linea_horizontal_1),Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Min(linea_horizontal_1),Max(linea_horizontal_1),Angle(linea_horizontal_1),Feret(linea_horizontal_1),FeretX(linea_horizontal_1),FeretY(linea_horizontal_1),FeretAngle(linea_horizontal_1),MinFeret(linea_horizontal_1),Length(linea_horizontal_1),Area(linea_vertical_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Min(linea_vertical_1),Max(linea_vertical_1),Angle(linea_vertical_1),Feret(linea_vertical_1),FeretX(linea_vertical_1),FeretY(linea_vertical_1),FeretAngle(linea_vertical_1),MinFeret(linea_vertical_1),Length(linea_vertical_1),Area(ovalo_1),Mean(ovalo_1),StdDev(ovalo_1),Min(ovalo_1),Max(ovalo_1),Feret(ovalo_1),FeretX(ovalo_1),FeretY(ovalo_1),FeretAngle(ovalo_1),MinFeret(ovalo_1),Area(linea_horizontal_2),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Min(linea_horizontal_2),Max(linea_horizontal_2),Angle(linea_horizontal_2),Feret(linea_horizontal_2),FeretX(linea_horizontal_2),FeretY(linea_horizontal_2),FeretAngle(linea_horizontal_2),MinFeret(linea_horizontal_2),Length(linea_horizontal_2),Area(linea_vertical_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Min(linea_vertical_2),Max(linea_vertical_2),Angle(linea_vertical_2),Feret(linea_vertical_2),FeretX(linea_vertical_2),FeretY(linea_vertical_2),FeretAngle(linea_vertical_2),MinFeret(linea_vertical_2),Length(linea_vertical_2),Area(ovalo_2),Mean(ovalo_2),StdDev(ovalo_2),Min(ovalo_2),Max(ovalo_2),Feret(ovalo_2),FeretX(ovalo_2),FeretY(ovalo_2),FeretAngle(ovalo_2),MinFeret(ovalo_2),Area(linea_horizontal_3),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Min(linea_horizontal_3),Max(linea_horizontal_3),Angle(linea_horizontal_3),Feret(linea_horizontal_3),FeretX(linea_horizontal_3),FeretY(linea_horizontal_3),FeretAngle(linea_horizontal_3),MinFeret(linea_horizontal_3),Length(linea_horizontal_3),Area(linea_vertical_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Min(linea_vertical_3),Max(linea_vertical_3),Angle(linea_vertical_3),Feret(linea_vertical_3),FeretX(linea_vertical_3),FeretY(linea_vertical_3),FeretAngle(linea_vertical_3),MinFeret(linea_vertical_3),Length(linea_vertical_3),Area(ovalo_3),Mean(ovalo_3),StdDev(ovalo_3),Min(ovalo_3),Max(ovalo_3),Feret(ovalo_3),FeretX(ovalo_3),FeretY(ovalo_3),FeretAngle(ovalo_3),MinFeret(ovalo_3),Area(linea_horizontal_4),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Min(linea_horizontal_4),Max(linea_horizontal_4),Angle(linea_horizontal_4),Feret(linea_horizontal_4),FeretX(linea_horizontal_4),FeretY(linea_horizontal_4),FeretAngle(linea_horizontal_4),MinFeret(linea_horizontal_4),Length(linea_horizontal_4),Area(linea_vertical_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Min(linea_vertical_4),Max(linea_vertical_4),Angle(linea_vertical_4),Feret(linea_vertical_4),FeretX(linea_vertical_4),FeretY(linea_vertical_4),FeretAngle(linea_vertical_4),MinFeret(linea_vertical_4),Length(linea_vertical_4),Area(ovalo_4),Mean(ovalo_4),StdDev(ovalo_4),Min(ovalo_4),Max(ovalo_4),Feret(ovalo_4),FeretX(ovalo_4),FeretY(ovalo_4),FeretAngle(ovalo_4),MinFeret(ovalo_4)
11,51,123.392,40.694,35,175,0,50,96,66,0,0,50,51,108.451,47.914,26,170,90,50,121,41,90,0,50,1976,111.201,48.955,14,202,50,96,66,0,50,51,131.373,42.982,41,196,0,50,96,167,0,0,50,51,114.941,46.252,30,170,90,50,121,142,90,0,50,1976,118.865,50.405,21,207,50,96,167,0,50,51,122.569,29.206,44,159,0,50,96,268,0,0,50,51,123.216,53.907,32,191,90,50,121,243,90,0,50,1976,119.323,48.795,25,218,50,96,268,0,50,51,134.824,38.347,46,187,0,50,96,369,0,0,50,51,122.059,46.494,34,182,90,50,121,344,90,0,50,1976,124.269,48.427,25,211,50,96,369,0,50
12,51,126.196,43.017,35,182,0,50,96,66,0,0,50,51,109.118,46.822,26,168,90,50,121,41,90,0,50,1976,112.950,50.125,14,200,50,96,66,0,50,51,131.216,42.329,41,191,0,50,96,167,0,0,50,51,114.784,46.337,30,170,90,50,121,142,90,0,50,1976,118.567,50.058,21,205,50,96,167,0,50,51,122.196,29.213,44,159,0,50,96,268,0,0,50,51,123.157,53.969,30,193,90,50,121,243,90,0,50,1976,118.997,48.647,25,218,50,96,268,0,50,51,134.216,37.421,48,186,0,50,96,369,0,0,50,51,122.843,47.844,34,187,90,50,121,344,90,0,50,1976,124.162,48.412,25,213,50,96,369,0,50
13,51,128.176,44.650,35,189,0,50,96,66,0,0,50,51,110.137,46.788,26,168,90,50,121,41,90,0,50,1976,114.475,50.709,14,200,50,96,66,0,50,51,131.529,41.138,41,191,0,50,96,167,0,0,50,51,114.725,46.309,30,170,90,50,121,142,90,0,50,1976,118.413,49.566,21,204,50,96,167,0,50,51,121.431,28.687,44,153,0,50,96,268,0,0,50,51,121.941,53.124,30,191,90,50,121,243,90,0,50,1976,118.516,48.461,25,218,50,96,268,0,50,51,133.392,36.595,48,182,0,50,96,369,0,0,50,51,123.078,48.708,34,187,90,50,121,344,90,0,50,1976,124.278,48.406,25,213,50,96,369,0,50
14,51,129.490,45.746,35,193,0,50,96,66,0,0,50,51,110.000,45.566,28,168,90,50,121,41,90,0,50,1976,115.339,51.542,14,204,50,96,66,0,50,51,131.118,40.485,41,189,0,50,96,167,0,0,50,51,115.745,46.915,30,171,90,50,121,142,90,0,50,1976,118.451,49.505,21,204,50,96,167,0,50,51,121.157,28.831,44,153,0,50,96,268,0,0,50,51,120.745,53.019,30,191,90,50,121,243,90,0,50,1976,117.907,48.340,25,214,50,96,268,0,50,51,133.078,36.345,48,180,0,50,96,369,0,0,50,51,123.137,49.370,34,189,90,50,121,344,90,0,50,1976,124.402,48.604,25,214,50,96,369,0,50
15,51,129.765,46.149,35,198,0,50,96,66,0,0,50,51,110.353,45.565,26,166,90,50,121,41,90,0,50,1976,115.934,51.665,14,204,50,96,66,0,50,51,130.804,40.160,42,189,0,50,96,167,0,0,50,51,115.725,47.657,28,171,90,50,121,142,90,0,50,1976,118.496,49.522,21,207,50,96,167,0,50,51,120.922,28.892,44,153,0,50,96,268,0,0,50,51,120.373,52.622,30,189,90,50,121,243,90,0,50,1976,117.199,47.880,25,214,50,96,268,0,50,51,131.765,34.968,48,179,0,50,96,369,0,0,50,51,123.510,49.841,34,191,90,50,121,344,90,0,50,1976,123.935,48.200,26,214,50,96,369,0,50
16,51,129.294,45.837,35,198,0,50,96,66,0,0,50,51,110.373,45.126,28,166,90,50,121,41,90,0,50,1976,115.738,51.589,14,204,50,96,66,0,50,51,129.412,39.070,42,186,0,50,96,167,0,0,50,51,115.765,47.973,28,175,90,50,121,142,90,0,50,1976,118.023,49.230,21,207,50,96,167,0,50,51,120.882,29.544,44,153,0,50,96,268,0,0,50,51,119.784,52.045,30,189,90,50,121,243,90,0,50,1976,116.543,47.599,26,216,50,96,268,0,50,51,131.784,34.143,48,173,0,50,96,369,0,0,50,51,123.725,50.436,34,191,90,50,121,344,90,0,50,1976,123.846,48.303,25,214,50,96,369,0,50
17,51,129.765,46.091,35,198,0,50,96,66,0,0,50,51,109.451,44.504,28,164,90,50,121,41,90,0,50,1976,115.442,51.414,14,204,50,96,66,0,50,51,129.510,37.924,44,180,0,50,96,167,0,0,50,51,116.784,48.705,28,177,90,50,121,142,90,0,50,1976,118.519,49.169,21,213,50,96,167,0,50,51,120.412,29.692,42,153,0,50,96,268,0,0,50,51,119.118,51.721,30,186,90,50,121,243,90,0,50,1976,116.311,47.329,26,216,50,96,268,0,50,51,131.667,33.848,48,173,0,50,96,369,0,0,50,51,124.373,50.970,34,193,90,50,121,344,90,0,50,1976,123.886,48.211,26,214,50,96,369,0,50
18,51,129.373,45.985,35,200,0,50,96,66,0,0,50,51,109.216,44.276,28,166,90,50,121,41,90,0,50,1976,115.179,51.260,14,204,50,96,66,0,50,51,129.353,37.973,42,177,0,50,96,167,0,0,50,51,116.059,48.982,28,179,90,50,121,142,90,0,50,1976,118.226,49.143,23,214,50,96,167,0,50,51,120.647,29.963,42,152,0,50,96,268,0,0,50,51,118.549,51.613,30,186,90,50,121,243,90,0,50,1976,115.835,47.021,26,214,50,96,268,0,50,51,130.882,33.289,48,171,0,50,96,369,0,0,50,51,123.745,51.332,34,193,90,50,121,344,90,0,50,1976,123.749,48.266,26,216,50,96,369,0,50
19,51,129.392,45.294,35,195,0,50,96,66,0,0,50,51,109.569,45.227,28,168,90,50,121,41,90,0,50,1976,115.172,51.166,14,204,50,96,66,0,50,51,128.941,37.056,44,177,0,50,96,167,0,0,50,51,116.922,49.889,28,179,90,50,121,142,90,0,50,1976,118.320,49.045,23,216,50,96,167,0,50,51,121.039,31.265,42,157,0,50,96,268,0,0,50,51,117.922,51.313,30,186,90,50,121,243,90,0,50,1976,115.788,46.838,26,216,50,96,268,0,50,51,130.961,32.988,48,170,0,50,96,369,0,0,50,51,123.863,51.548,34,193,90,50,121,344,90,0,50,1976,123.646,48.162,26,216,50,96,369,0,50
20,51,129.902,45.062,35,195,0,50,96,66,0,0,50,51,109.549,45.126,26,168,90,50,121,41,90,0,50,1976,115.082,51.017,16,207,50,96,66,0,50,51,128.137,36.429,42,173,0,50,96,167,0,0,50,51,116.706,49.983,28,179,90,50,121,142,90,0,50,1976,117.825,49.181,21,213,50,96,167,0,50,51,123.235,32.931,42,159,0,50,96,268,0,0,50,51,117.490,50.736,30,184,90,50,121,243,90,0,50,1976,116.160,46.958,25,214,50,96,268,0,50,51,131.137,31.954,50,168,0,50,96,369,0,0,50,51,124.569,52.153,34,193,90,50,121,344,90,0,50,1976,123.872,48.184,26,218,50,96,369,0,50
